id,user_id,order_date,status,last_update_ts
30,69,2018-02-02,completed,2025-09-02 10:21:41.640000-04:00
31,16,2018-02-02,completed,2025-09-02 10:21:41.640000-04:00
32,28,2018-02-04,completed,2025-09-02 10:21:41.640000-04:00
33,42,2018-02-04,completed,2025-09-02 10:21:41.640000-04:00
34,38,2018-02-06,completed,2025-09-02 10:21:41.640000-04:00
35,80,2018-02-08,completed,2025-09-02 10:21:41.640000-04:00
36,85,2018-02-10,completed,2025-09-02 10:21:41.640000-04:00
37,1,2018-02-10,completed,2025-09-02 10:21:41.640000-04:00
38,51,2018-02-10,completed,2025-09-02 10:21:41.640000-04:00
39,26,2018-02-11,completed,2025-09-02 10:21:41.640000-04:00
40,33,2018-02-13,completed,2025-09-02 10:21:41.640000-04:00
41,99,2018-02-14,completed,2025-09-02 10:21:41.640000-04:00
42,92,2018-02-16,completed,2025-09-02 10:21:41.640000-04:00
43,31,2018-02-17,completed,2025-09-02 10:21:41.640000-04:00
44,66,2018-02-17,completed,2025-09-02 10:21:41.640000-04:00
45,22,2018-02-17,completed,2025-09-02 10:21:41.640000-04:00
46,6,2018-02-19,completed,2025-09-02 10:21:41.640000-04:00
47,50,2018-02-20,completed,2025-09-02 10:21:41.640000-04:00
48,27,2018-02-21,completed,2025-09-02 10:21:41.640000-04:00
49,35,2018-02-21,completed,2025-09-02 10:21:41.640000-04:00
50,51,2018-02-23,completed,2025-09-02 10:21:41.640000-04:00
51,71,2018-02-24,completed,2025-09-02 10:21:41.640000-04:00
52,54,2018-02-25,return_pending,2025-09-02 10:21:41.640000-04:00
53,34,2018-02-26,completed,2025-09-02 10:21:41.640000-04:00
54,54,2018-02-26,completed,2025-09-02 10:21:41.640000-04:00
55,18,2018-02-27,completed,2025-09-02 10:21:41.640000-04:00
56,79,2018-02-28,completed,2025-09-02 10:21:41.640000-04:00
57,93,2018-03-01,completed,2025-09-02 10:21:41.640000-04:00
58,22,2018-03-01,completed,2025-09-02 10:21:41.640000-04:00
59,30,2018-03-02,completed,2025-09-02 10:21:41.640000-04:00
60,12,2018-03-03,completed,2025-09-02 10:21:41.640000-04:00
61,63,2018-03-03,completed,2025-09-02 10:21:41.640000-04:00
62,57,2018-03-05,completed,2025-09-02 10:21:41.640000-04:00
63,70,2018-03-06,completed,2025-09-02 10:21:41.640000-04:00
64,13,2018-03-07,completed,2025-09-02 10:21:41.640000-04:00
65,26,2018-03-08,completed,2025-09-02 10:21:41.640000-04:00
66,36,2018-03-10,completed,2025-09-02 10:21:41.640000-04:00
67,79,2018-03-11,completed,2025-09-02 10:21:41.640000-04:00
68,53,2018-03-11,completed,2025-09-02 10:21:41.640000-04:00
69,3,2018-03-11,completed,2025-09-02 10:21:41.640000-04:00
70,8,2018-03-12,completed,2025-09-02 10:21:41.640000-04:00
71,42,2018-03-12,shipped,2025-09-02 10:21:41.640000-04:00
72,30,2018-03-14,shipped,2025-09-02 10:21:41.640000-04:00
73,19,2018-03-16,completed,2025-09-02 10:21:41.640000-04:00
74,9,2018-03-17,shipped,2025-09-02 10:21:41.640000-04:00
75,69,2018-03-18,completed,2025-09-02 10:21:41.640000-04:00
76,25,2018-03-20,completed,2025-09-02 10:21:41.640000-04:00
77,35,2018-03-21,shipped,2025-09-02 10:21:41.640000-04:00
78,90,2018-03-23,shipped,2025-09-02 10:21:41.640000-04:00
79,52,2018-03-23,shipped,2025-09-02 10:21:41.640000-04:00
80,11,2018-03-23,shipped,2025-09-02 10:21:41.640000-04:00
81,76,2018-03-23,shipped,2025-09-02 10:21:41.640000-04:00
82,46,2018-03-24,shipped,2025-09-02 10:21:41.640000-04:00
83,54,2018-03-24,shipped,2025-09-02 10:21:41.640000-04:00
84,70,2018-03-26,placed,2025-09-02 10:21:41.640000-04:00
85,47,2018-03-26,shipped,2025-09-02 10:21:41.640000-04:00
86,68,2018-03-26,placed,2025-09-02 10:21:41.640000-04:00
87,46,2018-03-27,placed,2025-09-02 10:21:41.640000-04:00
88,91,2018-03-27,shipped,2025-09-02 10:21:41.640000-04:00
89,21,2018-03-28,placed,2025-09-02 10:21:41.640000-04:00
90,66,2018-03-30,shipped,2025-09-02 10:21:41.640000-04:00
91,47,2018-03-31,placed,2025-09-02 10:21:41.640000-04:00
92,84,2018-04-02,placed,2025-09-02 10:21:41.640000-04:00
93,66,2018-04-03,placed,2025-09-02 10:21:41.640000-04:00
94,63,2018-04-03,placed,2025-09-02 10:21:41.640000-04:00
95,27,2018-04-04,placed,2025-09-02 10:21:41.640000-04:00
96,90,2018-04-06,placed,2025-09-02 10:21:41.640000-04:00
97,89,2018-04-07,placed,2025-09-02 10:21:41.640000-04:00
98,41,2018-04-07,placed,2025-09-02 10:21:41.640000-04:00
99,85,2018-04-09,placed,2025-09-02 10:21:41.640000-04:00
