Customer_ID,Age,Gender,Income_Level,Occupation,Education_Level,Travel_Frequency,Destination,Trip_Duration,Travel_Purpose,Previous_Dental Treatment,General_Health_Status,Dental_Issue_History,Dental_Visit_Frequency,Previous_Insurance_Policy,Claims_History,Insurance_Duration,Online_Behavior,Marketing_Engagement,Social_Media_Activity,Credit_Score,Spending_Pattern,Payment_History,Propensity_Score
23,46,Male,51357,Business,High School,8,International,4,Leisure,True,Average,True,3,False,3,9,Medium,High,Low,438,Medium,Poor,0.0102600354970476
24,34,Female,85664,Teacher,High School,6,Domestic,30,Medical,True,Good,True,5,False,1,1,High,High,Medium,738,Low,Poor,0.0476263173087866
25,54,Female,103090,Doctor,Bachelor,1,International,13,Medical,False,Poor,True,3,True,5,6,High,Medium,High,355,High,Good,0.1876367559586387
26,62,Female,116057,Doctor,Master,7,Domestic,14,Medical,True,Average,True,3,True,1,8,High,Medium,Low,323,Low,Poor,0.6877150376259559
27,64,Male,125742,Lawyer,Master,2,Domestic,27,Medical,True,Good,True,4,True,0,5,High,Low,Low,317,High,Average,0.3506974553830373
28,55,Male,145129,Business,High School,3,Domestic,28,Medical,True,Poor,False,1,True,5,8,High,High,High,417,High,Average,0.4943675841711376
29,59,Female,61019,Doctor,Master,1,International,26,Business,True,Average,False,0,True,0,10,High,Medium,Medium,461,Low,Good,0.1536648960385922
30,61,Male,67012,Business,Master,9,International,27,Leisure,False,Poor,False,0,True,5,8,Low,High,High,561,Low,Good,0.5033500536070721
31,35,Male,34306,Business,Bachelor,6,International,20,Leisure,True,Good,True,5,False,1,5,High,Medium,High,367,Low,Poor,0.0636534196031154
32,61,Male,81117,Lawyer,High School,4,International,21,Medical,True,Poor,True,6,False,5,5,High,Low,High,797,High,Poor,0.950143067928468
33,31,Female,96828,Business,High School,2,Domestic,30,Leisure,True,Poor,True,2,False,4,1,High,Low,Low,599,High,Good,0.1118872028349563
34,71,Male,75840,Doctor,Master,2,Domestic,24,Leisure,True,Poor,True,3,False,5,7,Medium,Low,Medium,838,Medium,Poor,0.9203683303490804
35,38,Female,71764,Teacher,PhD,8,Domestic,14,Medical,False,Good,False,0,True,2,4,Low,Low,Low,849,Medium,Good,0.1094166537547921
36,45,Male,107542,Teacher,Bachelor,8,International,24,Medical,False,Average,True,4,True,3,4,Medium,Low,Medium,466,High,Good,0.4611687796314696
37,44,Male,148450,Doctor,Bachelor,0,International,12,Leisure,False,Good,False,5,False,2,8,Medium,Low,Low,377,Medium,Average,0.1112331965706154
38,56,Male,122716,Engineer,Master,5,International,10,Leisure,False,Average,True,2,True,2,7,Medium,High,Low,350,High,Poor,0.2764443588481252
39,83,Female,107500,Lawyer,PhD,7,International,24,Business,True,Poor,True,2,True,4,2,High,Low,Low,450,Low,Poor,0.9917683349411884
40,32,Male,125994,Doctor,Bachelor,8,International,28,Medical,True,Poor,False,1,False,2,10,Medium,Medium,Medium,352,High,Good,0.4418752750493426
41,84,Male,38549,Doctor,Bachelor,8,International,18,Business,True,Poor,True,4,True,5,8,Medium,Medium,Medium,536,High,Average,0.984409134493319
42,68,Female,48637,Engineer,High School,2,Domestic,18,Medical,True,Good,False,3,True,3,10,High,Medium,High,354,High,Poor,0.337825417946036
43,45,Male,87405,Engineer,High School,4,International,27,Medical,False,Average,False,4,True,1,3,Medium,Medium,Medium,679,Medium,Poor,0.328058919283427
44,46,Female,133987,Engineer,Master,9,International,16,Business,True,Average,True,0,False,3,5,High,Medium,Medium,419,High,Poor,0.2904513210337212
45,67,Female,87677,Doctor,High School,3,Domestic,15,Leisure,True,Average,True,2,True,2,4,Medium,High,Low,377,Low,Average,0.9902971457666442
46,25,Female,148360,Engineer,Master,7,Domestic,6,Leisure,False,Poor,True,0,True,0,3,Low,Low,Medium,717,High,Poor,0.161193726225255
47,44,Male,85533,Business,Bachelor,0,International,24,Business,False,Average,False,5,False,4,9,Medium,Medium,Medium,340,Medium,Poor,0.0481891975449146
48,59,Female,69158,Lawyer,High School,0,International,15,Medical,True,Average,True,5,False,1,8,High,Low,Medium,501,Low,Average,0.0646589653047512
49,26,Male,31296,Engineer,Master,1,Domestic,30,Medical,True,Average,True,4,False,1,2,Medium,High,Low,781,Low,Poor,0.2709827050505372
50,52,Male,95166,Lawyer,High School,6,Domestic,9,Medical,True,Poor,True,2,True,2,3,Low,High,Medium,313,Medium,Poor,0.0553036388688186
51,44,Female,77472,Doctor,Master,6,Domestic,2,Leisure,False,Poor,False,1,True,1,10,High,Low,High,640,Low,Good,0.053241159556756
52,56,Female,60895,Lawyer,Master,8,Domestic,18,Leisure,False,Poor,False,1,True,0,2,High,High,Low,565,Low,Good,0.3861589845897177
53,66,Female,131182,Artist,PhD,0,International,13,Medical,True,Good,False,3,False,0,4,Low,High,Medium,742,High,Poor,0.4012155049813138
54,62,Female,99416,Doctor,Master,4,Domestic,2,Medical,True,Average,True,7,False,0,4,Low,High,High,614,Medium,Poor,0.9524161023045642
55,36,Male,113515,Business,Bachelor,2,International,10,Medical,True,Poor,False,4,False,1,1,Medium,Medium,Low,500,Low,Average,0.6795595649345852
56,78,Male,51896,Teacher,PhD,10,International,9,Business,True,Poor,True,3,False,3,1,Low,Medium,Low,435,High,Good,0.907208002370409
57,87,Female,90637,Engineer,Bachelor,4,Domestic,21,Leisure,True,Poor,True,8,False,2,10,High,Medium,Low,831,High,Good,0.9482985545943536
58,63,Female,45029,Engineer,High School,10,International,12,Medical,True,Average,True,4,True,0,3,Medium,Medium,Low,730,Medium,Average,0.8852084104314161
59,74,Female,46187,Doctor,High School,4,International,25,Leisure,True,Poor,True,2,True,4,9,Medium,Medium,High,776,Medium,Average,0.8663914273995235
60,72,Male,66437,Teacher,High School,10,Domestic,8,Business,True,Average,True,7,False,2,5,Medium,Low,Medium,834,Low,Good,0.7456668900393766
61,64,Female,43947,Teacher,Bachelor,4,International,14,Medical,True,Average,True,4,True,3,5,Medium,Medium,Medium,391,Medium,Poor,0.9819841361884728
62,27,Female,133871,Engineer,Bachelor,1,Domestic,14,Business,False,Good,False,2,False,2,6,Medium,Medium,High,655,Medium,Poor,0.3540463088401284
63,64,Male,55709,Doctor,PhD,10,International,2,Leisure,True,Average,False,3,False,5,3,Medium,Medium,Medium,498,Medium,Good,0.6262274138426255
64,67,Male,96029,Artist,PhD,1,Domestic,19,Leisure,False,Good,True,0,False,2,7,Low,High,Medium,694,Medium,Poor,0.5983019614364963
65,33,Female,117944,Engineer,Master,10,International,8,Medical,True,Average,True,2,False,2,7,Low,Low,Low,642,High,Good,0.2756317900390486
66,65,Male,43515,Teacher,Bachelor,6,Domestic,8,Medical,False,Average,False,1,True,3,1,Low,Medium,High,830,Medium,Average,0.4198761927775927
67,63,Female,66660,Doctor,Bachelor,5,Domestic,4,Business,True,Average,True,6,True,1,1,High,Low,Medium,635,Low,Good,0.9851564061280732
68,66,Female,44010,Lawyer,Bachelor,1,International,14,Leisure,False,Average,True,0,True,3,8,High,Low,High,657,Medium,Good,0.023895346608366
69,35,Female,137321,Lawyer,Bachelor,1,International,5,Business,True,Average,True,1,True,3,7,Low,Low,Low,527,Low,Poor,0.1027551561624576
70,88,Male,92552,Engineer,PhD,9,Domestic,27,Business,True,Average,True,7,True,1,5,High,Low,High,617,High,Poor,0.962216036860095
71,56,Male,63818,Engineer,Bachelor,10,International,6,Business,False,Good,True,4,False,1,3,High,Low,Low,353,Medium,Good,0.076829953483464
72,27,Male,33228,Doctor,PhD,7,International,5,Leisure,True,Good,True,0,True,4,8,High,Medium,Low,321,High,Poor,0.2015079573764001
73,60,Male,45806,Engineer,PhD,9,International,29,Leisure,True,Average,True,9,True,0,10,High,Low,Medium,413,Low,Average,0.7518228635176548
74,45,Male,99342,Lawyer,High School,0,Domestic,2,Leisure,True,Good,True,0,False,2,2,Low,High,High,566,High,Poor,0.0562312001957741
75,36,Female,37597,Doctor,Bachelor,7,International,22,Medical,False,Average,False,1,True,1,6,Medium,Medium,High,678,High,Average,0.2914135330248443
76,82,Male,144669,Artist,Master,9,Domestic,8,Medical,True,Poor,True,8,False,2,9,High,Low,Low,478,Medium,Good,0.8693096435614687
77,89,Female,108979,Artist,High School,2,International,13,Leisure,True,Poor,True,8,True,3,4,Medium,High,Low,701,High,Average,0.7003245556152462
78,61,Male,45174,Engineer,PhD,10,International,19,Leisure,True,Average,True,7,False,4,9,Medium,Medium,High,667,High,Poor,0.956364976570173
79,31,Female,63198,Lawyer,PhD,10,Domestic,11,Business,True,Good,True,3,True,1,1,Low,High,Low,559,High,Good,0.0060671974892327
80,68,Male,135937,Lawyer,High School,1,International,11,Leisure,True,Average,True,6,True,3,8,Low,High,Medium,716,Low,Good,0.9794002930299648
81,49,Male,98472,Lawyer,Bachelor,10,International,30,Leisure,True,Good,False,1,False,0,6,Medium,Low,Medium,517,Medium,Poor,0.0498524391367615
82,41,Female,34893,Engineer,Bachelor,6,Domestic,29,Leisure,False,Average,True,3,True,3,5,High,High,Low,550,Low,Poor,0.6216241743577587
83,45,Male,64884,Doctor,Master,6,International,6,Medical,False,Average,True,5,True,1,4,Low,Low,Medium,472,High,Good,0.3172665211593471
84,46,Female,87659,Teacher,High School,3,Domestic,14,Business,False,Average,False,3,False,4,1,Medium,Low,Low,685,High,Poor,0.1914543817143482
85,62,Male,43231,Lawyer,Master,8,Domestic,14,Leisure,True,Average,True,7,True,2,9,High,High,High,705,Low,Good,0.7813459047013241
86,24,Male,82191,Doctor,Bachelor,8,Domestic,16,Medical,True,Average,False,5,True,4,8,Low,High,Medium,391,Medium,Average,0.2559887088553797
87,90,Male,43821,Engineer,Master,5,International,4,Leisure,True,Poor,True,5,True,0,4,Low,Medium,Low,737,High,Poor,0.9971531037645062
88,56,Male,89322,Artist,High School,1,Domestic,13,Medical,True,Good,False,2,False,1,3,Low,High,Medium,595,High,Poor,0.1847893902770624
89,54,Male,148435,Engineer,High School,0,Domestic,25,Medical,True,Good,False,2,True,3,9,High,Low,High,484,Medium,Poor,0.2390417674163244
90,40,Male,98005,Business,High School,9,Domestic,12,Business,False,Good,True,1,True,3,7,High,Low,High,538,High,Good,0.4220116663835077
91,26,Female,117869,Doctor,Master,1,International,13,Business,True,Good,True,3,True,3,10,Medium,Low,Low,687,High,Good,0.0640630780646777
92,75,Male,139079,Teacher,PhD,4,Domestic,8,Business,True,Average,True,9,False,5,3,High,Low,High,621,Medium,Poor,0.7045461284387466
93,62,Female,57170,Teacher,High School,7,International,18,Leisure,False,Poor,True,0,True,2,2,Low,Medium,High,348,Low,Good,0.2620289245750035
94,77,Male,120568,Artist,High School,7,International,21,Business,True,Average,True,2,False,5,6,Low,High,High,488,Low,Average,0.8046932369052889
95,67,Female,40062,Engineer,High School,3,International,6,Medical,True,Poor,True,5,False,1,9,Medium,High,Medium,405,Medium,Good,0.7520345642165395
96,72,Male,35322,Teacher,Master,5,Domestic,15,Medical,True,Average,True,3,True,1,3,Low,High,Medium,367,High,Good,0.7460165299777464
97,68,Male,64365,Teacher,PhD,7,Domestic,4,Medical,True,Poor,True,8,True,3,9,Low,Medium,High,836,Low,Average,0.8091029654893367
98,30,Male,101733,Doctor,PhD,0,International,19,Business,False,Average,False,1,False,2,4,High,Low,Low,477,Medium,Poor,0.4677132972003077
99,64,Male,135568,Engineer,PhD,3,Domestic,23,Business,True,Average,False,1,True,2,3,Medium,Low,Medium,658,Low,Good,0.5858133208501954
100,74,Female,36180,Artist,Master,10,International,21,Medical,True,Poor,True,2,True,4,1,Medium,Medium,Low,767,Low,Poor,0.7215343628721865
101,87,Male,73926,Teacher,PhD,5,International,6,Business,True,Average,True,2,True,5,2,High,Low,Medium,643,Medium,Average,0.9154511219084952
102,46,Male,137543,Artist,High School,0,International,8,Medical,False,Average,True,5,True,5,8,Medium,Medium,Medium,674,Medium,Poor,0.4913362803466778
103,22,Female,51523,Business,PhD,4,Domestic,11,Business,True,Good,False,3,True,5,5,Low,High,Medium,342,Medium,Average,0.1925191469097238
104,80,Female,36291,Teacher,Bachelor,3,Domestic,28,Medical,True,Average,True,7,False,1,8,High,High,Medium,444,High,Good,0.8410865974294682
105,63,Female,90776,Artist,Master,10,Domestic,13,Medical,False,Good,True,4,True,3,9,Low,High,High,344,Medium,Poor,0.0349965453934257
106,22,Female,104601,Business,PhD,2,International,11,Medical,True,Average,False,4,True,5,5,Low,Medium,Low,845,High,Average,0.055408446915991
107,32,Male,122625,Business,Master,5,International,11,Business,True,Average,False,2,True,2,3,High,Medium,Medium,593,High,Good,0.1509459006989155
108,79,Male,100122,Doctor,Bachelor,9,Domestic,23,Business,True,Poor,True,2,False,2,6,Low,Low,Medium,445,High,Poor,0.7058172839910144
109,20,Male,106193,Doctor,PhD,4,Domestic,24,Business,False,Average,False,0,True,2,6,Medium,Low,Medium,424,High,Good,0.485803166663601
110,28,Female,120778,Artist,Bachelor,4,International,26,Business,False,Average,False,1,False,1,4,High,Low,Medium,696,High,Good,0.4883310377618671
111,22,Female,140531,Teacher,High School,5,Domestic,24,Leisure,False,Good,False,5,True,1,9,Medium,Low,Low,493,High,Poor,0.4428719590953226
112,70,Male,131455,Engineer,Bachelor,5,International,19,Business,True,Poor,True,9,True,4,6,High,Medium,Low,643,Low,Average,0.962661206430192
113,23,Male,31641,Teacher,Master,1,International,7,Medical,True,Average,True,2,True,1,2,Low,Low,Medium,777,Low,Good,0.083895511380458
114,42,Female,147200,Teacher,High School,9,International,29,Leisure,False,Poor,False,4,False,2,8,High,High,High,562,High,Good,0.4626469882873342
115,48,Male,58181,Engineer,PhD,7,Domestic,28,Leisure,True,Poor,True,4,True,5,2,Medium,Medium,High,426,Medium,Poor,0.5634192419611431
116,60,Female,74645,Engineer,High School,10,Domestic,1,Business,False,Poor,False,4,False,1,2,Low,Low,Medium,595,High,Poor,0.44231921424785
117,60,Male,80592,Lawyer,Bachelor,2,International,2,Leisure,True,Average,True,9,False,1,10,Low,High,High,844,High,Poor,0.9313534253814684
118,53,Female,73634,Teacher,High School,6,International,18,Business,False,Average,True,0,True,1,6,High,High,Medium,837,Low,Poor,0.1268208153405767
119,68,Female,138616,Engineer,Bachelor,2,Domestic,11,Medical,True,Poor,True,9,False,3,9,High,High,High,440,Low,Average,0.7710390586317827
120,52,Female,96895,Engineer,High School,10,International,30,Business,False,Good,True,2,True,2,5,Low,Low,Medium,588,High,Poor,0.3847640128381958
121,44,Female,30036,Lawyer,Master,3,Domestic,3,Business,False,Good,True,0,False,3,5,Low,High,Low,539,Medium,Average,0.1766311762152492
122,65,Female,99963,Artist,Master,0,International,19,Business,False,Good,True,4,True,3,9,High,Medium,High,764,Low,Average,0.430565655425139
123,34,Male,58016,Lawyer,High School,8,International,17,Leisure,False,Average,True,2,True,3,4,High,High,Low,832,High,Good,0.6575792785273077
124,35,Female,31897,Lawyer,Bachelor,5,Domestic,6,Leisure,False,Poor,False,1,False,1,6,Low,Medium,Low,835,Low,Poor,0.491187209214014
125,61,Male,71689,Engineer,PhD,1,Domestic,24,Leisure,True,Average,False,3,True,1,10,Low,Low,Low,475,Low,Poor,0.2276114506688099
126,66,Male,110295,Artist,High School,7,International,5,Business,False,Good,True,4,False,0,10,Low,High,Medium,378,High,Average,0.4364517370073506
127,64,Male,143639,Artist,PhD,9,International,8,Medical,True,Good,True,1,False,0,10,Low,Low,Medium,756,High,Poor,0.2781107466518115
128,73,Female,58434,Business,Bachelor,0,International,15,Business,True,Poor,True,3,False,5,5,High,Medium,High,435,Low,Average,0.8724938367254609
129,18,Male,73002,Doctor,Bachelor,10,Domestic,17,Leisure,True,Poor,False,0,True,0,10,High,Medium,Medium,808,Medium,Average,0.2687401957256506
130,53,Male,145843,Engineer,Master,2,Domestic,28,Medical,False,Poor,True,0,True,1,5,Low,High,Medium,708,Low,Poor,0.6847317309033593
131,69,Male,52695,Doctor,Bachelor,6,International,12,Medical,False,Average,True,4,False,5,8,High,High,High,673,Medium,Average,0.162096324958044
132,88,Male,38356,Artist,High School,2,Domestic,11,Business,True,Poor,True,7,True,5,1,Low,Low,Low,697,Medium,Average,0.953249050684399
133,55,Female,102783,Lawyer,PhD,7,Domestic,27,Leisure,False,Poor,False,1,False,5,3,Low,High,High,465,Medium,Average,0.0757424724995623
134,87,Female,66577,Engineer,PhD,1,Domestic,11,Leisure,True,Average,True,6,True,4,3,Medium,Medium,Medium,392,High,Average,0.8003523303834683
135,63,Male,139280,Teacher,PhD,5,International,3,Medical,True,Average,False,5,False,3,10,Low,Medium,High,423,Medium,Average,0.2938438099668364
136,48,Male,89411,Engineer,High School,7,Domestic,9,Business,False,Good,True,1,True,0,10,Low,Medium,Medium,304,High,Average,0.1626170754121669
137,18,Male,33970,Artist,PhD,2,Domestic,11,Leisure,True,Average,False,2,True,3,6,Low,Low,High,765,Medium,Average,0.6135975441529424
138,77,Male,31687,Artist,High School,8,Domestic,7,Medical,True,Average,True,4,False,3,7,Medium,High,High,405,Low,Poor,0.972612338455646
139,39,Male,50455,Business,PhD,8,Domestic,22,Leisure,True,Average,True,4,False,4,8,Low,Low,Medium,496,High,Average,0.2147585784896383
140,40,Male,67718,Business,PhD,9,Domestic,22,Business,False,Average,False,0,True,5,2,Low,Low,Low,824,Medium,Good,0.6518438287845043
141,63,Male,139787,Teacher,PhD,8,International,29,Business,True,Poor,False,4,True,0,10,Low,Medium,Medium,827,Medium,Average,0.5983765987060221
142,76,Female,127817,Engineer,Bachelor,9,Domestic,2,Medical,True,Average,True,7,True,1,7,High,Low,Medium,731,High,Poor,0.8767648328981158
143,27,Male,116355,Business,Bachelor,1,Domestic,8,Leisure,True,Good,True,4,False,1,10,Low,High,Low,579,Low,Good,0.680140584255932
144,63,Male,67648,Artist,High School,2,Domestic,21,Medical,False,Average,False,3,True,5,3,Medium,High,High,413,High,Average,0.3181873776103814
145,68,Female,139397,Lawyer,PhD,5,International,19,Leisure,True,Average,True,6,False,4,6,Medium,Medium,Medium,753,Low,Good,0.9670977806130604
146,58,Female,114069,Lawyer,Master,8,International,23,Leisure,True,Good,True,5,True,4,2,Medium,High,Medium,662,Low,Good,0.0532792312202835
147,44,Female,40987,Lawyer,PhD,4,International,27,Leisure,True,Poor,True,2,True,0,8,High,Low,Medium,766,High,Average,0.2472165642934566
148,64,Male,36369,Artist,High School,7,International,5,Medical,False,Poor,False,2,False,3,8,High,Low,High,631,High,Average,0.6984587728401043
149,89,Male,53627,Lawyer,High School,0,Domestic,12,Business,True,Average,True,2,True,4,3,Medium,Low,Low,805,Medium,Average,0.977603176664953
150,60,Male,125963,Lawyer,Master,4,Domestic,11,Business,True,Poor,True,2,False,2,6,Low,Medium,Medium,778,Medium,Average,0.8826655594885922
151,21,Male,82307,Doctor,PhD,3,International,12,Leisure,False,Good,True,2,False,5,5,Low,Low,High,848,Low,Good,0.2369982425559696
152,71,Female,134192,Teacher,Bachelor,5,International,17,Leisure,True,Average,True,7,True,4,2,Medium,Medium,Medium,321,Medium,Average,0.9474400017345952
153,76,Male,137394,Doctor,PhD,10,International,13,Leisure,True,Poor,True,9,True,3,3,Medium,Medium,High,824,Low,Average,0.9782089534443208
154,70,Female,35909,Teacher,Master,3,International,21,Business,True,Poor,True,8,False,3,3,Medium,Low,High,693,Medium,Poor,0.9239333881591236
155,71,Female,69813,Lawyer,Bachelor,4,International,30,Medical,True,Average,True,4,False,1,7,High,High,High,824,Low,Good,0.8438365667183063
156,48,Female,140005,Business,High School,8,Domestic,17,Business,False,Average,False,1,True,1,8,Low,High,Low,720,High,Poor,0.0129268199017259
157,59,Male,62307,Lawyer,Master,10,International,18,Medical,True,Poor,False,0,False,5,8,Medium,High,High,558,High,Poor,0.3293811862949993
158,22,Female,30494,Engineer,Master,7,Domestic,29,Leisure,True,Poor,False,3,True,2,8,Medium,Low,Low,677,Medium,Average,0.4306086911377612
159,27,Female,63795,Engineer,Bachelor,2,Domestic,29,Business,False,Good,False,5,True,1,5,Medium,Low,High,309,High,Poor,0.2841839873832099
160,37,Female,137674,Artist,High School,1,Domestic,28,Leisure,False,Good,True,5,True,2,4,Low,High,High,637,Medium,Average,0.3786412906023831
161,47,Male,60400,Doctor,Master,8,International,19,Business,True,Good,True,0,False,2,7,Low,High,Medium,577,High,Average,0.4709093066973734
162,61,Male,131174,Engineer,High School,6,International,29,Business,False,Good,True,0,True,1,1,High,High,High,742,Medium,Poor,0.680977527384635
163,69,Male,121638,Lawyer,Master,9,Domestic,5,Business,True,Poor,True,2,True,0,4,Low,Low,Low,487,High,Poor,0.0388094886284219
164,26,Male,121831,Doctor,Bachelor,1,Domestic,19,Medical,False,Average,True,2,False,4,3,Low,Medium,Low,319,Low,Poor,0.3480053541906635
165,54,Male,51959,Lawyer,PhD,0,International,17,Business,False,Poor,False,2,False,4,9,Medium,High,High,493,Medium,Good,0.524359793770042
166,38,Female,130412,Lawyer,PhD,8,International,26,Business,True,Poor,False,4,True,5,6,High,High,High,656,Low,Average,0.651230768980539
167,77,Female,37636,Teacher,Bachelor,4,Domestic,12,Business,True,Poor,True,3,True,4,9,High,High,Low,529,Medium,Poor,0.9976466945732304
168,26,Female,76198,Artist,Master,6,Domestic,29,Medical,True,Poor,False,3,True,2,8,Low,High,Medium,432,Low,Good,0.4811047356290974
169,36,Male,133271,Lawyer,Master,10,Domestic,19,Leisure,False,Good,True,4,True,3,1,High,Low,Low,490,High,Average,0.0865844732232505
170,68,Female,33258,Doctor,PhD,3,International,2,Business,True,Poor,False,3,True,4,4,Medium,High,High,491,Low,Average,0.6278883038787231
171,19,Female,32220,Engineer,High School,6,International,4,Medical,False,Good,False,5,False,3,8,Low,High,Low,784,Medium,Poor,0.0352548371329656
172,81,Female,42723,Artist,High School,5,Domestic,12,Medical,True,Poor,True,7,False,4,1,Medium,Medium,Low,783,Low,Average,0.9093674386375824
173,63,Male,142878,Business,Bachelor,4,Domestic,25,Leisure,False,Poor,False,3,False,3,4,Medium,Low,Low,780,High,Good,0.348909348454186
174,68,Female,67279,Engineer,Master,4,Domestic,22,Medical,True,Good,False,2,False,1,4,Medium,High,High,716,Low,Poor,0.166429812247319
175,53,Female,67333,Doctor,Master,10,Domestic,19,Medical,True,Good,True,5,True,4,3,High,Low,Low,662,High,Average,0.2709662213651734
176,20,Female,64540,Teacher,Bachelor,2,International,24,Medical,True,Poor,True,3,True,1,9,Medium,Low,Low,626,High,Poor,0.0862400605294372
177,20,Female,114977,Lawyer,Master,0,Domestic,30,Business,True,Poor,True,5,False,2,4,High,Medium,Medium,695,Medium,Average,0.190614881932467
178,65,Female,117157,Doctor,PhD,7,Domestic,2,Medical,True,Average,True,2,False,1,6,High,High,Medium,703,Low,Average,0.8880004671760573
179,64,Female,140010,Artist,PhD,2,International,11,Leisure,True,Poor,True,3,False,4,7,Medium,High,Medium,798,Low,Poor,0.8582706754231341
180,29,Female,43660,Business,Master,10,International,28,Business,True,Average,True,4,False,2,3,High,Low,High,470,High,Average,0.5691545325555643
181,23,Male,99637,Lawyer,Bachelor,10,International,4,Leisure,False,Average,False,0,True,2,3,Medium,Low,Low,837,Medium,Average,0.1001327289181204
182,82,Female,122561,Teacher,High School,9,Domestic,30,Business,True,Average,True,7,False,4,7,Medium,High,Medium,495,High,Average,0.7013146121085387
183,49,Female,59582,Business,Master,6,Domestic,4,Business,False,Average,False,2,True,1,3,High,Medium,High,372,High,Average,0.6830031848898427
184,27,Male,130736,Teacher,PhD,3,International,11,Medical,True,Good,False,4,False,5,8,High,Medium,Low,583,Low,Good,0.4062228081258593
185,60,Female,80449,Business,High School,5,Domestic,19,Medical,True,Poor,True,5,False,5,5,Low,High,Low,659,Low,Good,0.897889568126534
186,21,Male,49742,Engineer,PhD,1,International,1,Medical,True,Poor,False,3,True,4,7,Medium,Low,Low,302,Medium,Good,0.3014329694207346
187,71,Male,147571,Artist,High School,5,Domestic,12,Leisure,True,Poor,True,2,True,0,9,Low,Low,High,681,Low,Average,0.8982045685985797
188,62,Male,117024,Teacher,PhD,2,Domestic,5,Business,True,Poor,True,9,False,5,1,Medium,High,Medium,752,Low,Good,0.7574479439470835
189,68,Male,93135,Teacher,High School,10,Domestic,23,Business,False,Good,True,2,True,3,2,High,High,High,599,High,Poor,0.0811112524199945
