LocalityID,PropertyID,PropertyType,BuildingSize,LandSize,PreferredSize,OpenDate,ListingAgency,Price,Address,City,State,ZipCode,Phone,BedroomCount,BathroomCount,ParkingCount
5,1351022,Unit,285,330,310,Added yesterday,LJ Hooker Darwin -   ,"$475,000 ",11/12 Mclachlan Street,Darwin City,NT,800,08 8924 0900,2,2,2
7,1351023,Unit,110,140,130,Under Offer,Top End Realty International - NIGHTCLIFF,Contact Agent,702/29 Daly Street,Darwin City,NT,800,08 8948 5607,2,2,2
1,1351024,House,55,80,70,Added 3 days ago,Professionals - DARWIN CITY,OFFERS INVITED,9 117 Mitchell Street,Darwin City,NT,800,08 8941 8289,2,2,2
9,1351025,Apartment,265,330,310,Added 1 day ago,Knight Frank (NT) - Darwin,"$465,000 ",5102/5 Anchorage Court,Darwin City,NT,800,08 8982 2500,1,1,1
3,1351026,Apartment,85,90,85,Added 2 hours ago,Real Estate Central Projects - Darwin,"Current Bid $600,000",501/102 Esplanade,Darwin City,NT,800,08 8943 3000,3,2,2
10,1351027,Apartment,235,300,280,Added 5 hours ago,Knight Frank (NT) - Darwin,"Offers Over $980,000",326/130 Esplanade,Darwin City,NT,800,08 8982 2500,3,2,2
7,1351028,Apartment,120,150,140,Added 4 days ago,First National Real Estate O'Donoghues - Darwin,"$1,050,000 ",221/130 Esplanade,Darwin City,NT,800,08 8942 8942,3,2,2
6,1351029,Apartment,50,60,55,Added 22 hours ago,Pacific Property Darwin,UNDER CONTRACT... MORE PROPERTIES WANTED,1/2 Lindsay Street,Darwin City,NT,800,433038633,3,2,2
2,1351030,House,295,350,330,Added 7 hours ago,Ray White City (NT) -    ,"$450,000 ",6607/7 Anchorage Court,Darwin City,NT,800,08 8943 3500,1,1,1
8,1351031,Apartment,130,160,150,Added yesterday,Real Estate Central - DARWIN CITY,"$749,000 ",17/9 Esplanade,Darwin City,NT,800,08 8943 3000,3,2,2
3,1351032,Apartment,45,60,55,Under Offer,All About Real Estate NT - DARWIN CITY,UNDER CONTRACT,103/130 Esplanade,Darwin City,NT,800,0438 404 848,3,3,2
5,1351033,Unit,250,300,280,Added 6 days ago,Real Estate NT by George Pikos - FANNIE BAY,"$289,000 ",302/6 Briggs St,Darwin City,NT,800,08 8941 9959,1,1,1
9,1351034,Apartment,105,120,110,Added 2 days ago,Ausway Group,"$490,000 ",14/130 Smith street,Darwin City,NT,800,451125286,2,2,2
1,1351035,Apartment,35,50,45,Added 4 days ago,Real Estate Central - DARWIN CITY,UNDER CONTRACT,5/44 Mclachlan Street,Darwin City,NT,800,08 8943 3000,3,2,2
4,1351036,Unit,275,330,310,Added 5 days ago,Habitat Real Estate - THE GARDENS,"Offers over $565,000",703/29 Daly Street,Darwin City,NT,800,08 8981 0080,2,2,2
10,1351037,Apartment,70,80,75,Added 2 hours ago,Call2View Real Estate - Palmerston,"$399,000 ",10/24 Harvey Street,Darwin City,NT,800,08 8932 8858,2,2,2
5,1351038,Apartment,240,300,280,Added 22 hours ago,First National Real Estate O'Donoghues - Darwin,"Offers over $469,000",3/107 Woods Street,Darwin City,NT,800,08 8942 8942,3,2,2
3,1351039,Apartment,115,140,130,Added 7 hours ago,First National Real Estate O'Donoghues - Darwin,"$649,000 ",10/3 Harvey Street,Darwin City,NT,800,08 8942 8942,4,2,2
7,1351040,Unit,50,60,55,Added yesterday,Territory Real Estate - Darwin,"Offers Over $499,000 Considered",313b/19 Kitchener Drive,Darwin City,NT,800,889855678,1,1,1
6,1351041,Apartment,270,330,310,Under Offer,Professionals - DARWIN CITY,"$400,000 ",205/12 Harvey Street,Darwin City,NT,800,08 8941 8289,2,2,1
8,1351042,Apartment,100,120,110,Added 3 days ago,First National Real Estate O'Donoghues - Darwin,"Offers Over $800,000",13/99 Gardens Road,Darwin City,NT,800,08 8942 8942,3,2,2
2,1351043,Unit,40,50,45,Added 1 day ago,Raine & Horne - Darwin,UNDER CONTRACT,23(805)/24 Litchfield Street,Darwin City,NT,800,08 8941 8941,1,1,1
9,1351044,Apartment,260,300,280,Added 2 hours ago,Renee's Realty NT - DURACK,"$299,000 ",512/6 Carey Street,Darwin City,NT,800,0417 718 149,1,1,1
4,1351045,Unit,60,80,70,Added 5 hours ago,Property Now - MOOLOOLABA,"$580,000 ",19 KITCHENER DRIVE,Darwin City,NT,800,1300 815 051 ,1,1,1
1,1351046,Apartment,130,150,140,Added 4 days ago,Raine & Horne - Darwin,"Offers Over $375,000",21/24 Harvey Street,Darwin City,NT,800,08 8941 8941,2,2,2
10,1351047,Apartment,78,90,85,Added 22 hours ago,North Property NT - STUART PARK,"$489,000 ",803/24 Litchfield Street,Darwin City,NT,800,08 898 11088 ,2,2,1
6,1351048,Unit,240,300,280,Added 7 hours ago,Elders Real Estate - Darwin,"OFFERS OVER $195,000",38/117 Smith Street,Darwin City,NT,800,08 8946 0500,1,1,1
4,1351049,Apartment,105,120,110,Added yesterday,LJ Hooker Darwin -   ,"$505,000 ",708/102 Esplanade,Darwin City,NT,800,08 8924 0900,2,2,2
2,1351050,Apartment,45,60,55,Under Offer,Ausway Group,"$325,000 ",1004/3  Gardiner street,Darwin City,NT,800,451125286,2,2,2
8,1351051,Apartment,285,330,310,Added 6 days ago,No Agent Property - BRIGHTON EAST,"$539,000 negotiable",1411/33 Woods Street,Darwin City,NT,800,1300 850 855,2,2,1
1,1351052,Apartment,110,140,130,Added 2 days ago,Piening Property Sales - COOLALINGA,"$180,000 ",106/21 Cavenagh Street,Darwin City,NT,800,429826650,1,1,0
7,1351053,Apartment,55,80,70,Added 4 days ago,Raine & Horne - Darwin,UNDER CONTRACT,36/96 Woods Street,Darwin City,NT,800,08 8941 8941,3,2,2
3,1351054,Unit,265,330,310,Added 5 days ago,Property Now - MOOLOOLABA,"$145,000 ",UNIT 51/21 CAVENAGH STREET,Darwin City,NT,800,1300 815 051 ,1,1,0
9,1351055,Apartment,85,90,85,Added 2 hours ago,Ausway Group,"$215,000 ",309/3  Gardiner street,Darwin City,NT,800,451125286,1,1,1
5,1351056,Apartment,235,300,280,Added 22 hours ago,@realty - National Head Office Australia,"$450,000 ",607/31 Woods Street,Darwin City,NT,800,1300 299 377,2,2,1
10,1351057,Apartment,120,150,140,Added 7 hours ago,David Booth Real Estate Pty Ltd - Darwin,"$865,000 ",181/8 Gardiner Street,Darwin City,NT,800,0418 892 861,3,2,2
8,1351058,Apartment,50,60,55,Added yesterday,Elders Real Estate - Darwin,"$400,000 ",11/27 McMinn Street,Darwin City,NT,800,08 8946 0500,2,2,1
7,1351059,Unit,295,350,330,Under Offer,LJ Hooker Darwin -   ,"$369,000 ",15/4 McMinn Street,Darwin City,NT,800,08 8924 0900,2,2,2
4,1351060,Apartment,130,160,150,Added 3 days ago,Knight Frank (NT) - Darwin,"$350,000 ",610/79 Smith Street,Darwin City,NT,800,08 8982 2500,1,1,1
6,1351061,Unit,45,60,55,Added 1 day ago,Real Estate Central - DARWIN CITY,"$549,000 ",19/96 Woods Street,Darwin City,NT,800,08 8943 3000,3,2,2
9,1351062,Apartment,250,300,280,Added 2 hours ago,First National Real Estate O'Donoghues - Darwin,"Offers over $539,000",609/31 Woods Street,Darwin City,NT,800,08 8942 8942,2,2,1
2,1351063,Apartment,105,120,110,Added 5 hours ago,Raine & Horne - Darwin,UNDER CONTRACT,611/43B Knuckey Street,Darwin City,NT,800,08 8941 8941,1,1,0
5,1351064,Apartment,35,50,45,Added 4 days ago,Elders Real Estate - Darwin,"$490,000 ",1109/31 Woods Street,Darwin City,NT,800,08 8946 0500,2,2,1
1,1351065,Apartment,275,330,310,Added 22 hours ago,Ausway Group,"$209,000  Negoticate",508/3 Gardiner street,Darwin City,NT,800,451125286,1,1,1
3,1351066,Apartment,70,80,75,Added 7 hours ago,Ray White Bayside - FANNIE BAY,"$420,000 ",9/144 Smith Street,Darwin City,NT,800,08 8986 7131,2,2,2
10,1351067,Unit,240,300,280,Added yesterday,Raine & Horne - Darwin,UNDER CONTRACT,34/108 Mitchell Street,Darwin City,NT,800,08 8941 8941,2,2,2
2,1351068,Unit,115,140,130,Under Offer,Real Estate Central Projects - DARWIN,"$510,000 ",601/12 Harvey Street,Darwin City,NT,800,08 8943 3066,3,2,2
3,1351069,Unit,50,60,55,Added 6 days ago,Real Estate Central Projects - Darwin,UNDER CONTRACT,501/12 Harvey Street,Darwin City,NT,800,08 8943 3000,3,2,2
5,1351070,Unit,270,330,310,Added 2 days ago,Go Wise - WOOLNER,"$535,000 ",19/3 Manton Street,Darwin City,NT,800,08 8942 1200,2,2,2
7,1351071,Unit,100,120,110,Added 4 days ago,North Property NT - STUART PARK,"$335,000 ",304/79 Smith Street,Darwin City,NT,800,08 898 11088 ,1,1,1
6,1351072,Apartment,40,50,45,Added 5 days ago,Real Estate Central - DARWIN CITY,UNDER CONTRACT,2003/43E Knuckey Street,Darwin City,NT,800,08 8943 3000,2,2,1
9,1351073,Apartment,260,300,280,Added 2 hours ago,Professionals - DARWIN CITY,"Penthouse for $850,000",39/144 Smith Street,Darwin City,NT,800,08 8941 8289,4,2,2
8,1351074,Apartment,60,80,70,Added 22 hours ago,Professionals - DARWIN CITY,"Needs to GO! $510,000",701/12 Harvey Street,Darwin City,NT,800,08 8941 8289,3,2,2
1,1351075,Unit,130,150,140,Added 7 hours ago,Elders Real Estate - Darwin,"$1,300,000 ",433/130 Esplanade,Darwin City,NT,800,08 8946 0500,3,2,2
4,1351076,Unit,78,90,85,Added yesterday,Nick Mousellis Real Estate - Eview Group Member,"Offers Over $580,000",6601/7 Anchorage Court,Darwin City,NT,800,411724000,2,2,2
10,1351077,Apartment,240,300,280,Under Offer,Professionals - DARWIN CITY,"$470,000 ",109/12 Harvey Street,Darwin City,NT,800,08 8941 8289,3,2,1
3,1351078,Apartment,105,120,110,Added 3 days ago,First National Real Estate O'Donoghues - Darwin,"Offers over $539,000",1607/31 Woods Street,Darwin City,NT,800,08 8942 8942,2,2,1
6,1351079,Unit,45,60,55,Added 1 day ago,LJ Hooker Darwin -   ,"$519,000 ",709/102 The Esplanade,Darwin City,NT,800,08 8924 0900,2,2,2
4,1351080,Unit,285,330,310,Added 2 hours ago,LJ Hooker Darwin -   ,"$219,000 ",512/5 Gardiner Street,Darwin City,NT,800,08 8924 0900,1,1,1
8,1351081,Apartment,110,140,130,Added 5 hours ago,Ausway Group,"$235,000 negotiable",414/3  Gardiner street,Darwin City,NT,800,451125286,1,1,1
1,1351082,Apartment,55,80,70,Added 4 days ago,Real Estate NT by George Pikos - FANNIE BAY,"$315,000 ",1109/6 Carey St,Darwin City,NT,800,08 8941 9959,1,1,1
7,1351083,Unit,265,330,310,Added 22 hours ago,Alliance Realty - Larrakeyah,"Offers over $450,000",15/14 Dashwood Place,Darwin City,NT,800,08 8982 8282,3,2,2
2,1351084,Apartment,85,90,85,Added 7 hours ago,For Sale By Owner                                                                                   ,Negotiable,21/12 Dashwood Place,Darwin City,NT,800,1300 114 970,3,2,2
9,1351085,Apartment,235,300,280,Added yesterday,Cate Killiner Real Estate - Woolner,"$380,000 ",406/90 Esplanade,Darwin City,NT,800,08 8942 2283,2,2,0
5,1351086,Apartment,120,150,140,Under Offer,Real Estate NT by George Pikos - FANNIE BAY,"$275,000 ",36/79 Mitchell St,Darwin City,NT,800,08 8941 9959,2,1,1
10,1351087,Apartment,50,60,55,Added 6 days ago,Elders Real Estate - Darwin,"PRICE GUIDE $1,070,000",204/8A Gardiner Street,Darwin City,NT,800,08 8946 0500,4,2,2
4,1351088,Unit,295,350,330,Added 2 days ago,Territory Real Estate - Darwin,"$270,000 ",2/51 Knuckey Street,Darwin City,NT,800,889855678,1,1,1
7,1351089,Apartment,130,160,150,Added 4 days ago,Exact PTY LTD,"$1,100,000 ","19/13 The Esplanade, Arkaba East",Darwin City,NT,800,889418366,3,2,2
5,1351090,Unit,45,60,55,Added 5 days ago,Elders Real Estate - Darwin,CONTACT AGENT,1017/55 Cavenagh Street,Darwin City,NT,800,08 8946 0500,3,2,0
3,1351091,House,250,300,280,Added 2 hours ago,Elders Real Estate - Darwin,"Price Guide $550,000",29/8 Knuckey Street,Darwin City,NT,800,08 8946 0500,3,2,1
8,1351092,Apartment,105,120,110,Added 22 hours ago,Real Estate Central - DARWIN CITY,Contact Agent,8/24 Harry Chan Avenue,Darwin City,NT,800,08 8943 3000,2,2,2
2,1351093,Unit,35,50,45,Added 7 hours ago,Habitat Real Estate - THE GARDENS,"$380,000 ",46/10 Doctors Gully Road,Darwin City,NT,800,08 8981 0080,1,1,1
9,1351094,Apartment,275,330,310,Added yesterday,First National Real Estate O'Donoghues - Darwin,"Offers over $868,000",2703/43E Knuckey Street,Darwin City,NT,800,08 8942 8942,3,2,2
1,1351095,Apartment,70,80,75,Under Offer,First National Real Estate O'Donoghues - Darwin,UNDER CONTRACT,707/43B Knuckey Street,Darwin City,NT,800,08 8942 8942,2,2,0
6,1351096,Apartment,240,300,280,Added 3 days ago,Real Estate Central - DARWIN CITY,"$539,000 ",801/79 Smith Street,Darwin City,NT,800,08 8943 3000,2,2,1
10,1351097,Apartment,115,140,130,Added 1 day ago,Real Estate Central - DARWIN CITY,"From $165,000",156/21 Cavenagh Street,Darwin City,NT,800,08 8943 3000,1,1,1
6,1351098,Studio,50,60,55,Added 2 hours ago,Raine & Horne - Darwin,"Offers Over: $130,000",85/21 Cavenagh Street,Darwin City,NT,800,08 8941 8941,1,1,1
2,1351099,Apartment,270,330,310,Added 5 hours ago,For Sale By Owner                                                                                   ,"$589,000 ",20/102 McMinn Street,Darwin City,NT,800,1300 114 970,3,2,2
8,1351100,Apartment,100,120,110,Added 4 days ago,Professionals - DARWIN CITY,"Offers over $360,000",27/101 Mitchell Street,Darwin City,NT,800,08 8941 8289,2,2,2
4,1351101,Apartment,40,50,45,Added 22 hours ago,Professionals - DARWIN CITY,"Offers over $430,000",26/101 Mitchell Street,Darwin City,NT,800,08 8941 8289,3,2,2
5,1351102,Apartment,260,300,280,Added 7 hours ago,First National Real Estate O'Donoghues - Darwin,"Offers over $839,000",2704/43E Knuckey Street,Darwin City,NT,800,08 8942 8942,3,2,2
7,1351103,Unit,60,80,70,Added yesterday,Property Shop - Darwin,$147 000,46/21 Cavenagh Street,Darwin City,NT,800,08 8981 5000,1,1,0
3,1351104,Unit,130,150,140,Under Offer,Complete Real Estate (NT),"$270,000 ",19/79 Mitchell Street,Darwin City,NT,800,08 8983 1266,2,1,1
9,1351105,Unit,78,90,85,Added 6 days ago,Elders Real Estate - Darwin,"PRICE GUIDE $795,000",21/2-3 Packard Place,Darwin City,NT,800,08 8946 0500,3,2,2
1,1351106,Unit,240,300,280,Added 2 days ago,Real Estate Central - DARWIN CITY,"Offers Over $430,000",11/28-30 Cavenagh Street,Darwin City,NT,800,08 8943 3000,2,2,1
10,1351107,Apartment,105,120,110,Added 4 days ago,Professionals - DARWIN CITY,Open to offers!,51/96 Woods Street,Darwin City,NT,800,08 8941 8289,3,3,3
2,1351108,Unit,45,60,55,Added 5 days ago,Core Realty NT - RAPID CREEK,"$555,000 Furnished Pool ,Gym LEASED: $640 per week",1205/16 Harvey Street,Darwin City,NT,800,0450 473 710,2,2,2
5,1351109,Unit,285,330,310,Added 2 hours ago,Elders Real Estate - Darwin,CONTACT AGENT,39/130 Smith Street,Darwin City,NT,800,08 8946 0500,2,2,2
7,1351110,Apartment,110,140,130,Added 22 hours ago,Pacific Property Darwin,"Offers over $529,000",605/29 Daly Street,Darwin City,NT,800,433038633,2,2,1
6,1351111,Apartment,55,80,70,Added 7 hours ago,Knight Frank (NT) - Darwin,"$460,000 ",5002/5 Anchorage Court,Darwin City,NT,800,08 8982 2500,1,1,1
8,1351112,Unit,265,330,310,Added yesterday,Real Estate Central - DARWIN CITY,"$195,000 ",123/21 Cavenagh Street,Darwin City,NT,800,08 8943 3000,1,1,1
1,1351113,Apartment,85,90,85,Under Offer,First National Real Estate O'Donoghues - Darwin,"Offers above $479,000",7/12 Dashwood Place,Darwin City,NT,800,08 8942 8942,3,2,2
9,1351114,Unit,235,300,280,Added 3 days ago,Real Estate Central - DARWIN CITY,"$295,000 ",8/93 Woods Street,Darwin City,NT,800,08 8943 3000,2,1,1
3,1351115,Apartment,120,150,140,Added 1 day ago,Knight Frank (NT) - Darwin,"$370,000 ono",10/4 Foelsche Street,Darwin City,NT,800,08 8982 2500,1,1,1
4,1351116,Unit,50,60,55,Added 2 hours ago,Habitat Real Estate - THE GARDENS,"Motivated Seller- Offers over $475,000",506/29 Daly Street,Darwin City,NT,800,08 8981 0080,2,2,1
10,1351117,Unit,295,350,330,Added 5 hours ago,Habitat Real Estate - THE GARDENS,"Offers over $520,000",7/32  McLachlan Street,Darwin City,NT,800,08 8981 0080,3,2,2
7,1351118,Apartment,130,160,150,Added 4 days ago,Real Estate Central - DARWIN CITY,"$449,000 ",504/31 Smith Street,Darwin City,NT,800,08 8943 3000,2,2,0
3,1351119,Apartment,45,60,55,Added 22 hours ago,LJ Hooker Darwin -   ,"$525,000 ",812/102 Esplanade,Darwin City,NT,800,08 8924 0900,2,2,2
5,1351120,Apartment,250,300,280,Added 7 hours ago,Real Estate Central - DARWIN CITY,UNDER CONTRACT,702/3-5 Gardiner Street,Darwin City,NT,800,08 8943 3000,1,1,1
6,1351121,Apartment,105,120,110,Added yesterday,Real Estate Central - DARWIN CITY,"Offers over $500,000",54/39 Cavenagh Street,Darwin City,NT,800,08 8943 3000,3,2,1
4,1351122,Unit,35,50,45,Under Offer,Raine & Horne - Darwin,UNDER CONTRACT,95/9 Carey Street,Darwin City,NT,800,08 8941 8941,3,2,2
8,1351123,Apartment,275,330,310,Added 6 days ago,@realty - National Head Office Australia,"New Price $595,000",15/29 Woods Street,Darwin City,NT,800,1300 299 377,2,2,2
9,1351124,Apartment,70,80,75,Added 2 days ago,Knight Frank (NT) - Darwin,"Offers Over $190,000",137/21 Cavenagh Street,Darwin City,NT,800,08 8982 2500,1,1,1
2,1351125,Apartment,240,300,280,Added 4 days ago,iProperty NT - Darwin,Under iContract,1105/102 Esplanade,Darwin City,NT,800,0404 877 261,2,2,2
1,1351126,Apartment,115,140,130,Added 5 days ago,First National Real Estate O'Donoghues - Darwin,Negotiable Above 1.5M,7/68B Esplanade,Darwin City,NT,800,08 8942 8942,4,2,2
10,1351127,Unit,50,60,55,Added 2 hours ago,@realty - National Head Office Australia,"$235,000+",906/3 Gardiner Street,Darwin City,NT,800,1300 299 377,1,1,1
4,1351128,Apartment,270,330,310,Added 22 hours ago,PRD Darwin - DARWIN City,"$389,000.00 ",3/24 Harvey Street,Darwin City,NT,800,421073034,2,2,2
6,1351129,Apartment,100,120,110,Added 7 hours ago,LJ Hooker Darwin -   ,"$370,000 ",211-212/90 Esplanade,Darwin City,NT,800,08 8924 0900,2,2,0
8,1351130,Apartment,40,50,45,Added yesterday,Chin Property Group,"$1,950,000 ",2035/27 Woods Street,Darwin City,NT,800,08 8981 8980,5,3,2
2,1351131,Apartment,260,300,280,Under Offer,LJ Hooker Darwin -   ,"$175,000 ",97/21 Cavenagh Street,Darwin City,NT,800,08 8924 0900,1,1,1
7,1351132,Apartment,60,80,70,Added 3 days ago,Knight Frank (NT) - Darwin,"$520,000 O.N.O",5506/5 Anchorage Court,Darwin City,NT,800,08 8982 2500,1,1,1
1,1351133,Unit,130,150,140,Added 1 day ago,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,"$329,000 ",2028/55 Cavenagh Street,Darwin City,NT,800,08 8945 9372,2,2,1
9,1351134,Apartment,78,90,85,Added 2 hours ago,First National Real Estate O'Donoghues - Darwin,"Offers above $559,000",24/1 Dashwood Place,Darwin City,NT,800,08 8942 8942,3,2,2
5,1351135,Apartment,240,300,280,Added 5 hours ago,First National Real Estate O'Donoghues - Darwin,Expressions of Interest,306/90 Esplanade,Darwin City,NT,800,08 8942 8942,1,1,0
3,1351136,Apartment,105,120,110,Added 4 days ago,PRD Darwin - DARWIN City,"$279,000 ",709/43B Knuckey Street,Darwin City,NT,800,421073034,1,1,0
10,1351137,Unit,45,60,55,Added 22 hours ago,Real Estate Central - DARWIN CITY,"From $500,000",506/90 Esplanade,Darwin City,NT,800,08 8943 3000,2,2,0
6,1351138,Apartment,285,330,310,Added 7 hours ago,For Sale By Owner                                                                                   ,"$280,000 ",43/79 Mitchell Street,Darwin City,NT,800,1300 114 970,2,1,1
2,1351139,Apartment,110,140,130,Added yesterday,Chin Property Group,"$1,250,000 ",236/130 Esplanade,Darwin City,NT,800,08 8981 8980,3,2,2
8,1351140,Apartment,55,80,70,Under Offer,David Booth Real Estate Pty Ltd - Darwin,"$800,000 ",123/8 Gardiner Street,Darwin City,NT,800,0418 892 861,3,2,2
4,1351141,Unit,265,330,310,Added 6 days ago,No Agent Property - BRIGHTON EAST,"$280,000 to$300,000",43/79 Mitchell Street,Darwin City,NT,800,1300 850 855,2,1,1
5,1351142,Apartment,85,90,85,Added 2 days ago,First National Real Estate O'Donoghues - Darwin,"$449,000 ",39/117 Smith Street,Darwin City,NT,800,08 8942 8942,3,2,1
7,1351143,Apartment,235,300,280,Added 4 days ago,Professionals - DARWIN CITY,"Invest Now $455,000",905/12 Harvey Street,Darwin City,NT,800,08 8941 8289,2,2,2
3,1351144,Apartment,120,150,140,Added 5 days ago,Knight Frank (NT) - Darwin,"$450,000 ONO",3/8 Knuckey Street,Darwin City,NT,800,08 8982 2500,2,2,1
9,1351145,Unit,50,60,55,Added 2 hours ago,@realty - National Head Office Australia,"$685,000 ",33/29 Woods Street,Darwin City,NT,800,1300 299 377,2,2,2
1,1351146,Unit,295,350,330,Added 22 hours ago,Alliance Realty - Larrakeyah,"$289,000 ",2036/55 Cavenagh Street,Darwin City,NT,800,08 8982 8282,2,2,1
