Date,Open,High,Low,Close,Volume
11-Aug-99,93.4688,93.50,85,87.6875,10762600
10-Aug-99,81.375,91.50,79,89.25,15073000
9-Aug-99,83.125,85.875,78.25,79.625,7222000
6-Aug-99,89,98,82.50,83.25,15158800
5-Aug-99,75.0625,93.25,70.2812,92.875,13574300
4-Aug-99,83.50,86,75.625,75.75,7944200
3-Aug-99,92.25,92.50,82.50,84.375,7750400
2-Aug-99,96.875,100,91,91.25,3958900
30-Jul-99,103.375,104.562,97.50,97.6875,2386100
29-Jul-99,100.875,104,100.312,102.25,3292200
28-Jul-99,99.125,106.75,98.75,104.938,5265900
27-Jul-99,105,107.938,98.50,99.5625,8500800
26-Jul-99,106,110.375,103.188,104.375,4331000
23-Jul-99,110,112,107.375,107.812,3203600
22-Jul-99,113.562,113.875,108.375,108.688,4245900
21-Jul-99,113.875,119.625,111.188,115.312,3664100
20-Jul-99,116,116.50,110.75,112.938,2887200
19-Jul-99,123.562,123.625,117.25,117.688,2919300
16-Jul-99,126.125,127.50,122.188,122.969,1828300
15-Jul-99,123.188,129.25,122,127,4342900
14-Jul-99,126.438,127.50,120.875,123,3872200
13-Jul-99,125.75,129.50,120.25,125,5624600
12-Jul-99,134.50,134.50,127.562,127.875,4105200
9-Jul-99,135.312,137.75,134.188,135.75,1761100
8-Jul-99,135.375,140.438,131.50,134.188,5022200
7-Jul-99,141.938,145.438,135.938,138.25,4200000
6-Jul-99,142.50,148.375,138,140.75,5087600
2-Jul-99,148.50,152.75,141.625,143.625,2833700
1-Jul-99,153.188,156.938,145.875,149.656,3349400
30-Jun-99,137.625,156,136.50,151.375,4483100
29-Jun-99,138.375,143.625,134,140.75,3865600
28-Jun-99,135.656,140.25,127.50,140.062,5088200
25-Jun-99,144,144.188,132.188,136,2709500
24-Jun-99,146.875,149.50,140.375,142.125,2209700
23-Jun-99,147.562,151.625,142,146.438,3064900
22-Jun-99,152.75,160,147.562,148.188,4011700
21-Jun-99,151.75,157,142,152.062,4100100
18-Jun-99,149.50,149.688,143.25,146.188,1964400
17-Jun-99,149.188,157.438,145.625,146.75,5729200
16-Jun-99,142.50,150.438,140,148.75,6536500
15-Jun-99,133.125,143,126.688,135.50,11052100
14-Jun-99,159.50,160,133.50,136,14915800
11-Jun-99,180.50,181.688,163.50,165.875,5451800
10-Jun-99,180.25,186.50,175.75,182.688,2366100
9-Jun-99,183.875,184,178.375,183,1574800
8-Jun-99,183,186.875,177.125,183.75,2421500
7-Jun-99,169.375,186.50,169.375,183.25,3562100
4-Jun-99,161.25,169.375,157.375,168.50,2576500
3-Jun-99,170.375,171,160,161.312,2771000
2-Jun-99,162.438,175.469,151.50,168.812,5469800
1-Jun-99,174,182.75,163,166.50,2671500
28-May-99,169.625,179.50,165.188,177.188,2050800
27-May-99,173,178.562,167.50,169,2383100
26-May-99,162.625,177,151.438,174.312,5222100
25-May-99,180.375,181.50,163.375,163.938,3789000
24-May-99,189.938,190,175.375,183.25,2151000
21-May-99,185.562,192,182.50,190.469,1469400
20-May-99,196,197.50,186.50,186.625,1329900
19-May-99,191.50,198.688,191.50,196.812,2276800
18-May-99,195,199,189,189.562,2100600
17-May-99,182,199,175.125,198.438,2603300
14-May-99,185.50,191,184.25,185.875,1837600
13-May-99,201.625,206.375,190,192.50,1856000
12-May-99,194.875,201.875,187.875,198.75,1936300
11-May-99,197.625,201,192.75,195.312,2405900
10-May-99,182.25,195.75,180,193.375,3437700
7-May-99,178.75,186.75,173,176.688,3000300
6-May-99,186.375,192,175,175.50,2623100
5-May-99,179.375,190,168,186.812,3991200
4-May-99,190,200.875,176,181.25,3713800
3-May-99,200.062,203.875,190,190.625,3035700
30-Apr-99,216.875,222,199,208.125,4774400
29-Apr-99,179,216,179,215,7080500
28-Apr-99,206,206,191.625,192.562,5706100
27-Apr-99,233.875,234,203,209.25,10240900
26-Apr-99,209.50,217.625,203.125,209,5889800
23-Apr-99,172.375,204,170,200.125,7639900
22-Apr-99,171,175.25,164.375,172,1466500
21-Apr-99,164.625,170.50,162.25,166.75,1533900
20-Apr-99,150.188,163.875,146.25,162.50,2908900
19-Apr-99,172.875,173.875,152,154.125,2933600
16-Apr-99,175.50,180.312,170,176,2294600
15-Apr-99,162,182,152.50,178.875,5118800
14-Apr-99,180,180.125,161,162.875,3584000
13-Apr-99,174.625,185.844,172.875,172.875,6102800
12-Apr-99,180,195,171.25,176.625,5793000
9-Apr-99,167,191,166,183.375,6280000
8-Apr-99,151.25,172.062,147.25,171.75,5032900
7-Apr-99,157,157.50,146.25,150,1708300
6-Apr-99,149.75,157.50,146.50,152,2431000
5-Apr-99,139.50,156.859,135.50,148.75,4222200
1-Apr-99,144,144,133.125,138.625,2158100
31-Mar-99,132.625,145,132.50,137.312,2740500
30-Mar-99,145.50,146,135.25,137.125,3546700
29-Mar-99,148.25,153.875,146,147.781,2727000
26-Mar-99,156,162,153,154.50,1430100
25-Mar-99,159.75,163.50,156,159.375,3087800
24-Mar-99,143.625,146,137.25,145.375,1800000
23-Mar-99,153,154,141,146.375,1918800
22-Mar-99,158.50,162,154,155.125,1257400
19-Mar-99,164.062,164.75,156.50,159.75,1669900
18-Mar-99,155.75,164,152.25,160.75,1927500
17-Mar-99,154.50,158.75,151.062,155.75,1687100
16-Mar-99,160.625,165.438,155.25,157.812,2347400
15-Mar-99,145.50,157.688,142.375,156.812,3469900
12-Mar-99,144.125,149,138.75,142,3057100
11-Mar-99,154,160.875,145,150,3510600
10-Mar-99,167.50,168.75,152,155.062,4885700
9-Mar-99,175.125,177.375,161.375,166.25,6714500
8-Mar-99,154.375,171,152.25,171,8731400
5-Mar-99,138.875,151.062,135,149.25,8340300
4-Mar-99,128.875,131.125,123.50,130.812,5504600
3-Mar-99,123.188,125,117.50,123.50,5384800
2-Mar-99,110.625,121,109.25,117.062,9804200
1-Mar-99,108.917,118.083,102.083,107.667,4920500
26-Feb-99,102.50,112.042,99.875,111.333,3454700
25-Feb-99,96.8333,99.9583,93.75,99.8333,1289800
24-Feb-99,96.7917,100.833,95,95.3333,1655200
23-Feb-99,94.625,98.8333,92.6667,94.2083,2027200
22-Feb-99,81.5833,95,80.50,92.9167,1767900
19-Feb-99,78.9167,80.50,77.25,79.8333,633500
18-Feb-99,78.125,79.4167,74.1667,78.375,754900
17-Feb-99,79.50,82,76.5833,77.6667,1174100
16-Feb-99,80.4167,82,76.0833,77.0417,633500
12-Feb-99,78.625,82.5833,76.1042,78.6667,1211600
11-Feb-99,73.0833,80.1667,71,79.8333,1318300
10-Feb-99,69.9583,72.125,64,70.6667,1256500
9-Feb-99,77,77.3333,70,70.9583,844000
8-Feb-99,76.6667,81.4583,74.375,77,1414800
5-Feb-99,81.8333,82.3333,73.3333,73.75,1854200
4-Feb-99,91.3333,92.6667,79,79.6667,3817200
3-Feb-99,83,93.3333,82.3333,92.75,939000
2-Feb-99,86.7083,86.7083,81.6667,84.75,860800
1-Feb-99,93,93.3333,87.1667,87.3333,1161900
29-Jan-99,95.3333,98.875,90.6667,92.5417,1609700
28-Jan-99,101.333,101.958,95.3333,97.5417,1170500
27-Jan-99,101.667,104.667,94.6667,101.167,4403600
26-Jan-99,73,78.25,71,73.625,1485000
25-Jan-99,66.6667,72.6042,61,72.50,1911100
22-Jan-99,55.3333,73.3333,55.3333,65.5833,2209000
21-Jan-99,65.6667,67.3333,60.0625,60.5833,1578800
20-Jan-99,76.5417,76.875,70,71.25,917200
19-Jan-99,82.50,83.3333,71.1667,76.625,644600
15-Jan-99,75.8333,80.6667,74,74.4583,785400
14-Jan-99,74.8333,80.5833,73.0417,75.1042,1238800
13-Jan-99,72.3333,78.6667,70.7917,71.8333,1360600
12-Jan-99,93.3333,97.50,80,80.1667,1109400
11-Jan-99,101.354,101.667,92.6667,97.1667,771300
8-Jan-99,105,107,95.6875,97.4583,1568700
7-Jan-99,90.7083,105,90.0417,99.3333,2077200
6-Jan-99,78,95,77.6667,94.3333,1910100
5-Jan-99,76.0208,77.50,73.25,74.6667,1319900
4-Jan-99,78.7917,83.6667,77.3333,80,783700
31-Dec-98,81.25,86.0208,80.3333,80.4167,656600
30-Dec-98,89.7917,89.9583,76.4583,84.2917,1744600
29-Dec-98,97,97,90,91.3125,591500
28-Dec-98,95.8333,100.667,92,95.2083,1065700
24-Dec-98,96.6667,99.0417,94,95.3333,459700
23-Dec-98,102.708,103.75,97.8333,99.3333,748800
22-Dec-98,102.042,103.688,94.0833,100.333,1858500
21-Dec-98,86.1667,100.167,85.6667,98.7917,2317700
18-Dec-98,83.3333,87.4167,81.6667,84.0833,1470100
17-Dec-98,72.6667,81.1667,71.8333,79.4375,1864600
16-Dec-98,66.7083,75.3333,66.6667,74.50,2161400
15-Dec-98,64.1667,64.7917,63.0833,64.6667,708900
14-Dec-98,61.9583,64.3333,61.8333,62.8333,818700
11-Dec-98,60.75,64.4167,60.6875,64,1056700
10-Dec-98,61.3333,63.5417,60.0417,62.0417,1999600
9-Dec-98,59.2083,64.8333,57.5833,59.8438,2094400
8-Dec-98,56,60.6667,55.50,58.9583,2119600
7-Dec-98,61,61,55.6667,58.0833,2023400
4-Dec-98,65,65.9896,53.4167,60.8333,2425100
3-Dec-98,66.0833,69.4167,61.6667,62.3333,1341000
2-Dec-98,68.6667,71.3333,66,67.6667,1263900
1-Dec-98,62.3542,69.6667,60.6667,69.0833,2593200
30-Nov-98,74.8125,75,62.6667,65.875,2380900
27-Nov-98,70.3333,73.375,69,72.6667,1168500
25-Nov-98,67,71.4167,65.1667,68.1667,3429200
24-Nov-98,63,78.0417,59.3333,65.6042,6005400
23-Nov-98,51,65.1667,50.5625,64.3333,2850000
20-Nov-98,50,50,46.7917,49,1178700
19-Nov-98,50.3333,51.7083,47.2708,47.9167,2384500
18-Nov-98,43.50,49.50,41.7917,49.1667,3528200
17-Nov-98,42.50,44.3333,41.3333,42.875,1430200
16-Nov-98,43.1667,43.3333,40.7292,42.5417,1445200
13-Nov-98,43.3333,44.3125,39.9167,41.3125,2379500
12-Nov-98,37.9583,44.2917,37.50,42,3922900
11-Nov-98,42.4167,45.0833,38.0417,38.6458,5381500
10-Nov-98,37.5625,46.6667,37.0417,43.625,10130800
9-Nov-98,28.2083,34.3333,28.1667,34.3333,3548600
6-Nov-98,26.7917,28.1458,26.75,28,858700
5-Nov-98,27,27.9167,26.25,27.0625,1158900
4-Nov-98,28.50,28.5833,27.2292,27.5625,782700
3-Nov-98,28.3333,28.50,27.6667,28,806300
2-Nov-98,28.9583,29.25,27.9167,28,2169400
30-Oct-98,26.9583,28.125,26.6875,27.7083,1665000
29-Oct-98,27.0833,27.6458,26.5833,26.625,1423100
28-Oct-98,26,28.25,25.50,26.6667,4464000
27-Oct-98,27.1667,30.2708,26.75,27.50,10013900
26-Oct-98,20,24.50,19.5833,24.4583,6838900
23-Oct-98,17.2083,17.4167,16.50,16.7083,566600
22-Oct-98,17.25,17.8333,16.4167,17.1875,935100
21-Oct-98,16.3333,17.1667,15.75,16.8542,1152200
20-Oct-98,16.3333,17.2917,15.0833,15.50,1916600
19-Oct-98,12.375,15.3333,12.3333,15.125,1370500
16-Oct-98,11.125,12.1667,11,12,760100
15-Oct-98,10.0417,10.9167,10.0417,10.875,511100
14-Oct-98,9.7083,10.7083,9.7083,10.0417,542500
13-Oct-98,10.5208,10.5833,9.75,9.7917,270600
12-Oct-98,10.6667,10.6667,10.50,10.50,494500
9-Oct-98,10.25,10.75,9.8333,10.25,675500
8-Oct-98,9.2917,9.75,8.4167,9.6667,1002600
7-Oct-98,11.6667,11.875,10.2917,10.2917,614800
6-Oct-98,12.75,12.75,10.6667,12.1667,706200
5-Oct-98,13.0417,13.0417,11.625,11.9583,593300
2-Oct-98,13.50,13.9167,11.6667,13.3333,821000
1-Oct-98,14.2083,14.4167,13.3333,13.3333,779200
30-Sep-98,15.7292,16,14.4167,15.0208,773600
29-Sep-98,16.4583,16.75,15.9167,16.2917,689000
28-Sep-98,15.8333,16.9583,15.3333,16.0833,1574300
25-Sep-98,15.1667,15.375,13.7083,14.9583,2126400
24-Sep-98,17.8333,18.0833,14.75,15.7917,9095400
