"ROW_I","attribute_1","attribute_2","attribute_3","attribute_4","attribute_5","attribute_6","attribute_7","attribute_8","attribute_9","attribute_10","attribute_11","attribute_12","attribute_13","attribute_14","attribute_15","attribute_16","attribute_17","attribute_18","attribute_19","attribute_20","attribute_21","attribute_22","attribute_23","attribute_24","attribute_25","attribute_26","attribute_27","attribute_28","attribute_29","attribute_30","attribute_31","attribute_32","attribute_33","attribute_34","attribute_35","attribute_36","attribute_37","attribute_38","attribute_39","attribute_40","attribute_41","attribute_42","attribute_43","attribute_44","attribute_45","attribute_46","attribute_47","attribute_48","attribute_49","attribute_50","attribute_51","attribute_52","attribute_53","attribute_54","attribute_55","attribute_56","attribute_57","attribute_58","attribute_59","attribute_60","Target_Col"
80,0.01080,0.00860,0.00580,0.04600,0.07520,0.08870,0.10150,0.04940,0.04720,0.03930,0.11060,0.14120,0.22020,0.29760,0.41160,0.47540,0.53900,0.62790,0.70600,0.79180,0.94930,1.00000,0.96450,0.94320,0.86580,0.78950,0.65010,0.44920,0.47390,0.61530,0.49290,0.31950,0.37350,0.33360,0.10520,0.06710,0.03790,0.04610,0.16940,0.21690,0.16770,0.06440,0.01590,0.07780,0.06530,0.02100,0.05090,0.03870,0.02620,0.01010,0.01610,0.00290,0.00780,0.01140,0.00830,0.00580,0.00030,0.00230,0.00260,0.00270,Rock
127,0.07150,0.08490,0.05870,0.02180,0.08620,0.18010,0.19160,0.18960,0.29600,0.41860,0.48670,0.52490,0.59590,0.68550,0.85730,0.97180,0.86930,0.87110,0.89540,0.99220,0.89800,0.81580,0.83730,0.75410,0.58930,0.54880,0.56430,0.54060,0.47830,0.44390,0.36980,0.25740,0.14780,0.17430,0.12290,0.15880,0.18030,0.14360,0.16670,0.26300,0.22340,0.12390,0.08690,0.20920,0.14990,0.06760,0.08990,0.09270,0.06580,0.00860,0.02160,0.01530,0.01210,0.00960,0.01960,0.00420,0.00660,0.00990,0.00830,0.01240,Mine
76,0.02020,0.01040,0.03250,0.02390,0.08070,0.15290,0.11540,0.06080,0.13170,0.13700,0.08430,0.02690,0.12540,0.30460,0.55840,0.79730,0.83410,0.80570,0.86160,0.87690,0.94130,0.94030,0.94090,1.00000,0.97250,0.93090,0.93510,0.73170,0.44210,0.32440,0.41610,0.46110,0.40310,0.30000,0.24590,0.13480,0.25410,0.22550,0.15980,0.14850,0.08450,0.05690,0.08550,0.12620,0.11530,0.05700,0.04260,0.04250,0.02350,0.00060,0.01880,0.01270,0.00810,0.00670,0.00430,0.00650,0.00490,0.00540,0.00730,0.00540,Rock
194,0.02030,0.01210,0.03800,0.01280,0.05370,0.08740,0.10210,0.08520,0.11360,0.17470,0.21980,0.27210,0.21050,0.17270,0.20400,0.17860,0.13180,0.22600,0.23580,0.31070,0.39060,0.36310,0.48090,0.65310,0.78120,0.83950,0.91800,0.97690,0.89370,0.70220,0.65000,0.50690,0.39030,0.30090,0.15650,0.09850,0.22000,0.22430,0.27360,0.21520,0.24380,0.31540,0.21120,0.09910,0.05940,0.19400,0.19370,0.10820,0.03360,0.01770,0.02090,0.01340,0.00940,0.00470,0.00450,0.00420,0.00280,0.00360,0.00130,0.00160,Mine
139,0.07310,0.12490,0.16650,0.14960,0.14430,0.27700,0.25550,0.17120,0.04660,0.11140,0.17390,0.31600,0.32490,0.21640,0.20310,0.25800,0.17960,0.24220,0.36090,0.18100,0.26040,0.65720,0.97340,0.97570,0.80790,0.65210,0.49150,0.53630,0.76490,0.52500,0.51010,0.42190,0.41600,0.19060,0.02230,0.42190,0.54960,0.24830,0.20340,0.27290,0.28370,0.44630,0.31780,0.08070,0.11920,0.21340,0.32410,0.29450,0.14740,0.02110,0.03610,0.04440,0.02300,0.02900,0.01410,0.01610,0.01770,0.01940,0.02070,0.00570,Mine
17,0.03520,0.01160,0.01910,0.04690,0.07370,0.11850,0.16830,0.15410,0.14660,0.29120,0.23280,0.22370,0.24700,0.15600,0.34910,0.33080,0.22990,0.22030,0.24930,0.41280,0.31580,0.61910,0.58540,0.33950,0.25610,0.55990,0.81450,0.69410,0.69850,0.86600,0.59300,0.36640,0.67500,0.86970,0.78370,0.75520,0.57890,0.47130,0.12520,0.60870,0.73220,0.59770,0.34310,0.18030,0.23780,0.34240,0.23030,0.06890,0.02160,0.04690,0.04260,0.03460,0.01580,0.01540,0.01090,0.00480,0.00950,0.00150,0.00730,0.00670,Rock
120,0.02610,0.02660,0.02230,0.07490,0.13640,0.15130,0.13160,0.16540,0.18640,0.20130,0.28900,0.36500,0.35100,0.34950,0.43250,0.53980,0.62370,0.68760,0.73290,0.81070,0.83960,0.86320,0.87470,0.96070,0.97160,0.91210,0.85760,0.87980,0.77200,0.57110,0.42640,0.28600,0.31140,0.20660,0.11650,0.01850,0.13020,0.24800,0.16370,0.11030,0.21440,0.20330,0.18870,0.13700,0.13760,0.03070,0.03730,0.06060,0.03990,0.01690,0.01350,0.02220,0.01750,0.01270,0.00220,0.01240,0.00540,0.00210,0.00280,0.00230,Mine
59,0.02250,0.00190,0.00750,0.00970,0.04450,0.09060,0.08890,0.06550,0.16240,0.14520,0.14420,0.09480,0.06180,0.16410,0.07080,0.08440,0.25900,0.26790,0.30940,0.46780,0.59580,0.72450,0.87730,0.92140,0.92820,0.99420,1.00000,0.90710,0.85450,0.72930,0.64990,0.60710,0.55880,0.59670,0.62750,0.54590,0.47860,0.39650,0.20870,0.16510,0.18360,0.06520,0.07580,0.04860,0.03530,0.02970,0.02410,0.03790,0.01190,0.00730,0.00510,0.00340,0.01290,0.01000,0.00440,0.00570,0.00300,0.00350,0.00210,0.00270,Rock
72,0.00360,0.00780,0.00920,0.03870,0.05300,0.11970,0.12430,0.10260,0.12390,0.08880,0.09370,0.12450,0.15990,0.15420,0.18460,0.17320,0.14770,0.17480,0.14550,0.15790,0.22570,0.19750,0.33680,0.58280,0.85050,1.00000,0.84570,0.66240,0.55640,0.39250,0.32330,0.20540,0.19200,0.22270,0.31470,0.22680,0.07950,0.07480,0.11660,0.19690,0.26190,0.25070,0.19830,0.09480,0.09310,0.09650,0.03810,0.04350,0.03360,0.00550,0.00790,0.01190,0.00550,0.00350,0.00360,0.00040,0.00180,0.00490,0.00240,0.00160,Rock
200,0.01160,0.07440,0.03670,0.02250,0.00760,0.05450,0.11100,0.10690,0.17080,0.22710,0.31710,0.28820,0.26570,0.23070,0.18890,0.17910,0.22980,0.37150,0.62230,0.72600,0.79340,0.80450,0.80670,0.91730,0.93270,0.95620,1.00000,0.98180,0.86840,0.63810,0.39970,0.32420,0.28350,0.24130,0.23210,0.12600,0.06930,0.07010,0.14390,0.14750,0.04380,0.04690,0.14760,0.17420,0.15550,0.16510,0.11810,0.07200,0.03210,0.00560,0.02020,0.01410,0.01030,0.01000,0.00340,0.00260,0.00370,0.00440,0.00570,0.00350,Mine
158,0.02010,0.01780,0.02740,0.02320,0.07240,0.08330,0.12320,0.12980,0.20850,0.27200,0.21880,0.30370,0.29590,0.20590,0.09060,0.16100,0.18000,0.21800,0.20260,0.15060,0.05210,0.21430,0.43330,0.59430,0.69260,0.75760,0.87870,0.90600,0.85280,0.90870,0.96570,0.93060,0.77740,0.66430,0.66040,0.68840,0.69380,0.59320,0.57740,0.62230,0.58410,0.45270,0.49110,0.57620,0.50130,0.40420,0.31230,0.22320,0.10850,0.04140,0.02530,0.01310,0.00490,0.01040,0.01020,0.00920,0.00830,0.00200,0.00480,0.00360,Mine
36,0.02060,0.01320,0.05330,0.05690,0.06470,0.14320,0.13440,0.20410,0.15710,0.15730,0.23270,0.17850,0.15070,0.19160,0.20610,0.23070,0.23600,0.12990,0.38120,0.58580,0.44970,0.48760,1.00000,0.86750,0.47180,0.53410,0.61970,0.71430,0.56050,0.37280,0.24810,0.19210,0.13860,0.33250,0.28830,0.32280,0.26070,0.20400,0.23960,0.13190,0.06830,0.03340,0.07160,0.09760,0.07870,0.05220,0.05000,0.02310,0.02210,0.01440,0.03070,0.03860,0.01470,0.00180,0.01000,0.00960,0.00770,0.01800,0.01090,0.00700,Rock
7,0.03170,0.09560,0.13210,0.14080,0.16740,0.17100,0.07310,0.14010,0.20830,0.35130,0.17860,0.06580,0.05130,0.37520,0.54190,0.54400,0.51500,0.42620,0.20240,0.42330,0.77230,0.97350,0.93900,0.55590,0.52680,0.68260,0.57130,0.54290,0.21770,0.21490,0.58110,0.63230,0.29650,0.18730,0.29690,0.51630,0.61530,0.42830,0.54790,0.61330,0.50170,0.23770,0.19570,0.17490,0.13040,0.05970,0.11240,0.10470,0.05070,0.01590,0.01950,0.02010,0.02480,0.01310,0.00700,0.01380,0.00920,0.01430,0.00360,0.01030,Rock
47,0.03080,0.03390,0.02020,0.08890,0.15700,0.17500,0.09200,0.13530,0.15930,0.27950,0.33360,0.29400,0.16080,0.33350,0.49850,0.72950,0.73500,0.82530,0.87930,0.96570,1.00000,0.87070,0.64710,0.59730,0.82180,0.77550,0.61110,0.41950,0.29900,0.13540,0.24380,0.56240,0.55550,0.69630,0.72980,0.70220,0.54680,0.14210,0.47380,0.64100,0.43750,0.31780,0.23770,0.28080,0.13740,0.11360,0.10340,0.06880,0.04220,0.01170,0.00700,0.01670,0.01270,0.01380,0.00900,0.00510,0.00290,0.01220,0.00560,0.00200,Rock
122,0.01620,0.00410,0.02390,0.04410,0.06300,0.09210,0.13680,0.10780,0.15520,0.17790,0.21640,0.25680,0.30890,0.38290,0.43930,0.53350,0.59960,0.67280,0.73090,0.80920,0.89410,0.96680,1.00000,0.98930,0.93760,0.89910,0.91840,0.91280,0.78110,0.60180,0.37650,0.33000,0.22800,0.02120,0.11170,0.17880,0.23730,0.28430,0.22410,0.27150,0.33630,0.25460,0.18670,0.21600,0.12780,0.07680,0.10700,0.09460,0.06360,0.02270,0.01280,0.01730,0.01350,0.01140,0.00620,0.01570,0.00880,0.00360,0.00530,0.00300,Mine
19,0.02700,0.00920,0.01450,0.02780,0.04120,0.07570,0.10260,0.11380,0.07940,0.15200,0.16750,0.13700,0.13610,0.13450,0.21440,0.53540,0.68300,0.56000,0.30930,0.32260,0.44300,0.55730,0.57820,0.61730,0.81320,0.98190,0.98230,0.91660,0.74230,0.77360,0.84730,0.73520,0.66710,0.60830,0.62390,0.59720,0.57150,0.52420,0.29240,0.15360,0.20030,0.20310,0.22070,0.17780,0.13530,0.13730,0.07490,0.04720,0.03250,0.01790,0.00450,0.00840,0.00100,0.00180,0.00680,0.00390,0.01200,0.01320,0.00700,0.00880,Rock
28,0.01770,0.03000,0.02880,0.03940,0.06300,0.05260,0.06880,0.06330,0.06240,0.06130,0.16800,0.34760,0.45610,0.51880,0.63080,0.72010,0.51530,0.38180,0.26440,0.33450,0.48650,0.66280,0.73890,0.92130,1.00000,0.77500,0.55930,0.61720,0.86350,0.65920,0.47700,0.49830,0.33300,0.30760,0.28760,0.22260,0.07940,0.06030,0.10490,0.06060,0.15300,0.09830,0.16430,0.19010,0.11070,0.19170,0.14670,0.03920,0.03560,0.02700,0.01680,0.01020,0.01220,0.00440,0.00750,0.01240,0.00990,0.00570,0.00320,0.00190,Rock
57,0.01520,0.01020,0.01130,0.02630,0.00970,0.03910,0.08570,0.09150,0.09490,0.15040,0.19110,0.21150,0.22490,0.25730,0.17010,0.20230,0.25380,0.34170,0.40260,0.45530,0.55250,0.59910,0.58540,0.71140,0.95000,0.98580,1.00000,0.95780,0.86420,0.71280,0.58930,0.43230,0.28970,0.17440,0.07700,0.22970,0.24590,0.31010,0.33120,0.22200,0.08710,0.20640,0.18080,0.16240,0.11200,0.08150,0.11170,0.09500,0.04120,0.01200,0.00480,0.00490,0.00410,0.00360,0.00130,0.00460,0.00370,0.00110,0.00340,0.00330,Rock
141,0.04120,0.11350,0.05180,0.02320,0.06460,0.11240,0.17870,0.24070,0.26820,0.20580,0.15460,0.26710,0.31410,0.29040,0.35310,0.50790,0.46390,0.18590,0.44740,0.40790,0.54000,0.47860,0.43320,0.61130,0.50910,0.46060,0.72430,0.89870,0.88260,0.92010,0.80050,0.60330,0.21200,0.28660,0.40330,0.28030,0.30870,0.35500,0.25450,0.14320,0.58690,0.64310,0.58260,0.42860,0.48940,0.57770,0.43150,0.26400,0.17940,0.07720,0.07980,0.03760,0.01430,0.02720,0.01270,0.01660,0.00950,0.02250,0.00980,0.00850,Mine
23,0.00990,0.04840,0.02990,0.02970,0.06520,0.10770,0.23630,0.23850,0.00750,0.18820,0.14560,0.18920,0.31760,0.13400,0.21690,0.24580,0.25890,0.27860,0.22980,0.06560,0.14410,0.11790,0.16680,0.17830,0.24760,0.25700,0.10360,0.53560,0.71240,0.62910,0.47560,0.60150,0.72080,0.62340,0.57250,0.75230,0.87120,0.92520,0.97090,0.92970,0.89950,0.79110,0.56000,0.28380,0.44070,0.55070,0.43310,0.29050,0.19810,0.07790,0.03960,0.01730,0.01490,0.01150,0.02020,0.01390,0.00290,0.01600,0.01060,0.01340,Rock
179,0.01970,0.03940,0.03840,0.00760,0.02510,0.06290,0.07470,0.05780,0.13570,0.16950,0.17340,0.24700,0.31410,0.32970,0.27590,0.20560,0.11620,0.18840,0.33900,0.39260,0.42820,0.54180,0.64480,0.72230,0.78530,0.79840,0.88470,0.95820,0.89900,0.68310,0.61080,0.54800,0.50580,0.44760,0.24010,0.14050,0.17720,0.17420,0.33260,0.40210,0.30090,0.20750,0.12060,0.02550,0.02980,0.06910,0.07810,0.07770,0.03690,0.00570,0.00910,0.01340,0.00970,0.00420,0.00580,0.00720,0.00410,0.00450,0.00470,0.00540,Mine
40,0.00910,0.02130,0.02060,0.05050,0.06570,0.07950,0.09700,0.08720,0.07430,0.08370,0.15790,0.08980,0.03090,0.18560,0.29690,0.20320,0.12640,0.16550,0.16610,0.20910,0.23100,0.44600,0.66340,0.69330,0.76630,0.82060,0.70490,0.75600,0.74660,0.63870,0.48460,0.33280,0.53560,0.87410,0.85730,0.67180,0.34460,0.31500,0.27020,0.25980,0.27420,0.35940,0.43820,0.24600,0.07580,0.01870,0.07970,0.07480,0.03670,0.01550,0.03000,0.01120,0.01120,0.01020,0.00260,0.00970,0.00980,0.00430,0.00710,0.01080,Rock
202,0.03350,0.02580,0.03980,0.05700,0.05290,0.10910,0.17090,0.16840,0.18650,0.26600,0.31880,0.35530,0.31160,0.19650,0.17800,0.27940,0.28700,0.39690,0.55990,0.69360,0.79690,0.74520,0.82030,0.92610,0.88100,0.88140,0.93010,0.99550,0.85760,0.60690,0.39340,0.24640,0.16450,0.11400,0.09560,0.00800,0.07020,0.09360,0.08940,0.11270,0.08730,0.10200,0.19640,0.22560,0.18140,0.20120,0.16880,0.10370,0.05010,0.01360,0.01300,0.01200,0.00390,0.00530,0.00620,0.00460,0.00450,0.00220,0.00050,0.00310,Mine
188,0.03680,0.02790,0.01030,0.05660,0.07590,0.06790,0.09700,0.14730,0.21640,0.25440,0.29360,0.29350,0.26570,0.31870,0.27940,0.25340,0.19800,0.19290,0.28260,0.32450,0.35040,0.33240,0.42170,0.47740,0.48080,0.63250,0.83340,0.94580,1.00000,0.84250,0.55240,0.47950,0.52000,0.39680,0.19400,0.15190,0.20100,0.17360,0.10290,0.22440,0.37170,0.44490,0.39390,0.20300,0.20100,0.21870,0.18400,0.14770,0.09710,0.02240,0.01510,0.01050,0.00240,0.00180,0.00570,0.00920,0.00090,0.00860,0.01100,0.00520,Mine
38,0.03330,0.02210,0.02700,0.04810,0.06790,0.09810,0.08430,0.11720,0.07590,0.09200,0.14750,0.05220,0.11190,0.09700,0.11740,0.16780,0.16420,0.12050,0.04940,0.15440,0.34850,0.61460,0.91460,0.93640,0.86770,0.87720,0.85530,0.88330,1.00000,0.82960,0.66010,0.54990,0.57160,0.68590,0.68250,0.51420,0.27500,0.13580,0.15510,0.26460,0.19940,0.18830,0.27460,0.16510,0.05750,0.06950,0.05980,0.04560,0.00210,0.00680,0.00360,0.00220,0.00320,0.00600,0.00540,0.00630,0.01430,0.01320,0.00510,0.00410,Rock
196,0.01290,0.01410,0.03090,0.03750,0.07670,0.07870,0.06620,0.11080,0.17770,0.22450,0.24310,0.31340,0.32060,0.29170,0.22490,0.23470,0.21430,0.29390,0.48980,0.61270,0.75310,0.77180,0.74320,0.86730,0.93080,0.98360,1.00000,0.95950,0.87220,0.68620,0.49010,0.32800,0.31150,0.19690,0.10190,0.03170,0.07560,0.09070,0.10660,0.13800,0.06650,0.14750,0.24700,0.27880,0.27090,0.22830,0.18180,0.11850,0.05460,0.02190,0.02040,0.01240,0.00930,0.00720,0.00190,0.00270,0.00540,0.00170,0.00240,0.00290,Mine
43,0.02110,0.03190,0.04150,0.02860,0.01210,0.04380,0.12990,0.13900,0.06950,0.05680,0.08690,0.19350,0.14780,0.18710,0.19940,0.32830,0.68610,0.58140,0.25000,0.17340,0.33630,0.55880,0.65920,0.70120,0.80990,0.89010,0.87450,0.78870,0.87250,0.93760,0.89200,0.75080,0.68320,0.76100,0.90170,1.00000,0.91230,0.73880,0.59150,0.40570,0.30190,0.23310,0.29310,0.22980,0.23910,0.19100,0.10960,0.03000,0.01710,0.03830,0.00530,0.00900,0.00420,0.01530,0.01060,0.00200,0.01050,0.00490,0.00700,0.00800,Rock
34,0.04420,0.04770,0.00490,0.05810,0.02780,0.06780,0.16640,0.14900,0.09740,0.12680,0.11090,0.23750,0.20070,0.21400,0.11090,0.20360,0.24680,0.66820,0.83450,0.82520,0.80170,0.89820,0.96640,0.85150,0.66260,0.32410,0.20540,0.56690,0.57260,0.48770,0.75320,0.76000,0.51850,0.41200,0.55600,0.55690,0.13360,0.38310,0.46110,0.43300,0.25560,0.14660,0.34890,0.26590,0.09440,0.13700,0.13440,0.04160,0.07190,0.06370,0.02100,0.02040,0.02160,0.01350,0.00550,0.00730,0.00800,0.01050,0.00590,0.01050,Rock
52,0.01310,0.00680,0.03080,0.03110,0.00850,0.07670,0.07710,0.06400,0.07260,0.09010,0.07500,0.08440,0.12260,0.16190,0.23170,0.29340,0.35260,0.36570,0.32210,0.30930,0.40840,0.42850,0.46630,0.59560,0.69480,0.83860,0.88750,0.64040,0.33080,0.34250,0.49200,0.45920,0.30340,0.43660,0.51750,0.51220,0.47460,0.49020,0.46030,0.44600,0.41960,0.28730,0.22960,0.09490,0.00950,0.05270,0.03830,0.01070,0.01080,0.00770,0.01090,0.00620,0.00280,0.00400,0.00750,0.00390,0.00530,0.00130,0.00520,0.00230,Rock
91,0.01260,0.05190,0.06210,0.05180,0.10720,0.25870,0.23040,0.20670,0.34160,0.42840,0.30150,0.12070,0.32990,0.57070,0.69620,0.97510,1.00000,0.92930,0.62100,0.45860,0.50010,0.50320,0.70820,0.84200,0.81090,0.76900,0.81050,0.62030,0.23560,0.25950,0.62990,0.67620,0.29030,0.43930,0.85290,0.71800,0.48010,0.58560,0.49930,0.28660,0.06010,0.11670,0.27370,0.28120,0.20780,0.06600,0.04910,0.03450,0.01720,0.02870,0.00270,0.02080,0.00480,0.01990,0.01260,0.00220,0.00370,0.00340,0.01140,0.00770,Rock
177,0.06350,0.07090,0.04530,0.03330,0.01850,0.12600,0.10150,0.19180,0.33620,0.39000,0.46740,0.56320,0.55060,0.43430,0.30520,0.34920,0.39750,0.38750,0.52800,0.71980,0.77020,0.85620,0.86880,0.92360,1.00000,0.96620,0.98220,0.73600,0.41580,0.29180,0.32800,0.36900,0.34500,0.28630,0.08640,0.37240,0.46490,0.34880,0.18170,0.11420,0.12200,0.26210,0.44610,0.47260,0.32630,0.14230,0.03900,0.04060,0.03110,0.00860,0.01540,0.00480,0.00250,0.00870,0.00720,0.00950,0.00860,0.00850,0.00400,0.00510,Mine
49,0.01900,0.00380,0.06420,0.04520,0.03330,0.06900,0.09010,0.14540,0.07400,0.03490,0.14590,0.34730,0.31970,0.28230,0.01660,0.05720,0.21640,0.45630,0.38190,0.56270,0.64840,0.72350,0.82420,0.87660,1.00000,0.85820,0.65630,0.50870,0.48170,0.45300,0.45210,0.45320,0.53850,0.53080,0.53560,0.52710,0.42600,0.24360,0.12050,0.38450,0.41070,0.50670,0.42160,0.24790,0.15860,0.11240,0.06510,0.07890,0.03250,0.00700,0.00260,0.00930,0.01180,0.01120,0.00940,0.01400,0.00720,0.00220,0.00550,0.01220,Rock
160,0.02350,0.02200,0.01670,0.05160,0.07460,0.11210,0.12580,0.17170,0.30740,0.31990,0.29460,0.24840,0.25100,0.18060,0.14130,0.30190,0.36350,0.38870,0.29800,0.22190,0.16240,0.13430,0.20460,0.37910,0.57710,0.75450,0.84060,0.85470,0.90360,1.00000,0.96460,0.79120,0.64120,0.59860,0.68350,0.77710,0.80840,0.74260,0.62950,0.57080,0.44330,0.33610,0.37950,0.49500,0.43730,0.24040,0.11280,0.16540,0.09330,0.02250,0.02140,0.02210,0.01520,0.00830,0.00580,0.00230,0.00570,0.00520,0.00270,0.00210,Mine
