"Store","Date","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","IsHoliday"
9,"19/02/2010",43.06,2.514,,,,,,214.8506185,6.415,FALSE
4,"19/02/2010",36.45,2.540,,,,,,126.5262857,8.623,FALSE
28,"19/02/2010",54.83,2.915,,,,,,126.5262857,13.975,FALSE
5,"19/02/2010",41.14,2.514,,,,,,211.8471283,6.566,FALSE
1,"19/02/2010",39.93,2.514,,,,,,211.2891429,8.106,FALSE
21,"19/02/2010",39.75,2.514,,,,,,210.9451605,8.324,FALSE
36,"19/02/2010",45.66,2.472,,,,,,210.0451024,8.554,FALSE
15,"19/02/2010",27.54,2.909,,,,,,131.6370000,8.350,FALSE
14,"19/02/2010",31.27,2.745,,,,,,182.0347816,8.992,FALSE
43,"19/02/2010",48.77,2.514,,,,,,203.2479796,9.521,FALSE
8,"19/02/2010",39.10,2.514,,,,,,214.6664878,6.299,FALSE
35,"19/02/2010",32.44,2.745,,,,,,135.4657781,9.262,FALSE
22,"19/02/2010",31.96,2.747,,,,,,135.4657781,8.283,FALSE
2,"19/02/2010",39.69,2.514,,,,,,210.9451605,8.324,FALSE
25,"19/02/2010",24.16,2.745,,,,,,204.4321004,8.187,FALSE
17,"19/02/2010",25.06,2.654,,,,,,126.5262857,6.548,FALSE
39,"19/02/2010",43.96,2.514,,,,,,210.0451024,8.554,FALSE
11,"19/02/2010",48.30,2.514,,,,,,214.6198868,7.368,FALSE
10,"19/02/2010",58.22,2.915,,,,,,126.5262857,9.765,FALSE
6,"26/02/2010",47.10,2.561,,,,,,212.8453370,7.259,FALSE
24,"26/02/2010",33.98,2.910,,,,,,131.6860000,8.326,FALSE
13,"26/02/2010",29.98,2.667,,,,,,126.5522857,8.316,FALSE
16,"26/02/2010",18.12,2.586,,,,,,189.6018023,7.039,FALSE
29,"26/02/2010",35.98,2.753,,,,,,131.6860000,10.064,FALSE
45,"26/02/2010",34.89,2.754,,,,,,182.0774691,8.992,FALSE
41,"26/02/2010",21.84,2.586,,,,,,189.6018023,7.541,FALSE
30,"26/02/2010",45.31,2.561,,,,,,210.9759573,8.324,FALSE
42,"26/02/2010",52.77,2.825,,,,,,126.5522857,9.765,FALSE
38,"26/02/2010",50.23,2.825,,,,,,126.5522857,13.975,FALSE
3,"26/02/2010",52.05,2.561,,,,,,214.6475127,7.368,FALSE
40,"26/02/2010",33.32,2.753,,,,,,131.6860000,5.892,FALSE
32,"26/02/2010",26.64,2.586,,,,,,189.6018023,9.014,FALSE
34,"26/02/2010",37.28,2.590,,,,,,126.5522857,9.521,FALSE
26,"26/02/2010",27.32,2.753,,,,,,131.6860000,8.488,FALSE
18,"26/02/2010",35.42,2.753,,,,,,131.6860000,9.202,FALSE
12,"26/02/2010",50.23,2.825,,,,,,126.5522857,13.975,FALSE
23,"26/02/2010",32.68,2.753,,,,,,131.6860000,5.892,FALSE
37,"26/02/2010",50.87,2.561,,,,,,210.0771885,8.554,FALSE
20,"26/02/2010",32.32,2.754,,,,,,204.4630869,8.187,FALSE
19,"26/02/2010",30.33,2.910,,,,,,131.6860000,8.350,FALSE
31,"26/02/2010",45.31,2.561,,,,,,210.9759573,8.324,FALSE
9,"26/02/2010",43.83,2.561,,,,,,214.8780453,6.415,FALSE
4,"26/02/2010",41.36,2.590,,,,,,126.5522857,8.623,FALSE
28,"26/02/2010",50.23,2.825,,,,,,126.5522857,13.975,FALSE
5,"26/02/2010",46.70,2.561,,,,,,211.8771468,6.566,FALSE
1,"26/02/2010",46.63,2.561,,,,,,211.3196429,8.106,FALSE
21,"26/02/2010",45.31,2.561,,,,,,210.9759573,8.324,FALSE
36,"26/02/2010",50.87,2.520,,,,,,210.0771885,8.554,FALSE
15,"26/02/2010",29.87,2.910,,,,,,131.6860000,8.350,FALSE
14,"26/02/2010",34.89,2.754,,,,,,182.0774691,8.992,FALSE
43,"26/02/2010",48.77,2.561,,,,,,203.2798724,9.521,FALSE
8,"26/02/2010",37.91,2.561,,,,,,214.6940735,6.299,FALSE
35,"26/02/2010",36.00,2.754,,,,,,135.5195191,9.262,FALSE
22,"26/02/2010",35.98,2.753,,,,,,135.5195191,8.283,FALSE
2,"26/02/2010",46.10,2.561,,,,,,210.9759573,8.324,FALSE
25,"26/02/2010",29.16,2.754,,,,,,204.4630869,8.187,FALSE
17,"26/02/2010",15.64,2.667,,,,,,126.5522857,6.548,FALSE
39,"26/02/2010",49.79,2.561,,,,,,210.0771885,8.554,FALSE
11,"26/02/2010",52.79,2.561,,,,,,214.6475127,7.368,FALSE
10,"26/02/2010",52.77,2.825,,,,,,126.5522857,9.765,FALSE
6,"05/03/2010",49.63,2.625,,,,,,212.8745193,7.259,FALSE
24,"05/03/2010",36.73,2.919,,,,,,131.7350000,8.326,FALSE
13,"05/03/2010",40.65,2.681,,,,,,126.5782857,8.316,FALSE
16,"05/03/2010",27.92,2.620,,,,,,189.6695049,7.039,FALSE
29,"05/03/2010",36.82,2.766,,,,,,131.7350000,10.064,FALSE
45,"05/03/2010",37.13,2.777,,,,,,182.1201566,8.992,FALSE
41,"05/03/2010",32.49,2.620,,,,,,189.6695049,7.541,FALSE
30,"05/03/2010",48.61,2.625,,,,,,211.0067542,8.324,FALSE
42,"05/03/2010",55.92,2.877,,,,,,126.5782857,9.765,FALSE
38,"05/03/2010",53.77,2.987,,,,,,126.5782857,13.975,FALSE
3,"05/03/2010",53.04,2.625,,,,,,214.6751386,7.368,FALSE
40,"05/03/2010",34.78,2.766,,,,,,131.7350000,5.892,FALSE
32,"05/03/2010",37.72,2.620,,,,,,189.6695049,9.014,FALSE
34,"05/03/2010",42.65,2.654,,,,,,126.5782857,9.521,FALSE
26,"05/03/2010",28.60,2.766,,,,,,131.7350000,8.488,FALSE
18,"05/03/2010",37.17,2.766,,,,,,131.7350000,9.202,FALSE
12,"05/03/2010",53.77,2.987,,,,,,126.5782857,13.975,FALSE
23,"05/03/2010",33.15,2.766,,,,,,131.7350000,5.892,FALSE
37,"05/03/2010",51.33,2.625,,,,,,210.1092746,8.554,FALSE
20,"05/03/2010",31.75,2.777,,,,,,204.4940734,8.187,FALSE
19,"05/03/2010",32.92,2.919,,,,,,131.7350000,8.350,FALSE
31,"05/03/2010",48.61,2.625,,,,,,211.0067542,8.324,FALSE
9,"05/03/2010",48.43,2.625,,,,,,214.9054721,6.415,FALSE
4,"05/03/2010",43.49,2.654,,,,,,126.5782857,8.623,FALSE
28,"05/03/2010",53.77,2.987,,,,,,126.5782857,13.975,FALSE
5,"05/03/2010",48.89,2.625,,,,,,211.9071653,6.566,FALSE
1,"05/03/2010",46.50,2.625,,,,,,211.3501429,8.106,FALSE
21,"05/03/2010",48.61,2.625,,,,,,211.0067542,8.324,FALSE
36,"05/03/2010",51.33,2.574,,,,,,210.1092746,8.554,FALSE
15,"05/03/2010",31.79,2.919,,,,,,131.7350000,8.350,FALSE
14,"05/03/2010",37.13,2.777,,,,,,182.1201566,8.992,FALSE
43,"05/03/2010",52.89,2.625,,,,,,203.3117653,9.521,FALSE
8,"05/03/2010",45.64,2.625,,,,,,214.7216592,6.299,FALSE
35,"05/03/2010",38.07,2.777,,,,,,135.5732602,9.262,FALSE
22,"05/03/2010",36.82,2.766,,,,,,135.5732602,8.283,FALSE
2,"05/03/2010",47.17,2.625,,,,,,211.0067542,8.324,FALSE
25,"05/03/2010",29.45,2.777,,,,,,204.4940734,8.187,FALSE
17,"05/03/2010",31.58,2.681,,,,,,126.5782857,6.548,FALSE
39,"05/03/2010",50.93,2.625,,,,,,210.1092746,8.554,FALSE
11,"05/03/2010",53.96,2.625,,,,,,214.6751386,7.368,FALSE
10,"05/03/2010",55.92,2.877,,,,,,126.5782857,9.765,FALSE
6,"12/03/2010",58.82,2.667,,,,,,212.9037017,7.259,FALSE
24,"12/03/2010",42.31,2.938,,,,,,131.7840000,8.326,FALSE
13,"12/03/2010",37.62,2.733,,,,,,126.6042857,8.316,FALSE
16,"12/03/2010",28.64,2.684,,,,,,189.7372075,7.039,FALSE
29,"12/03/2010",43.43,2.805,,,,,,131.7840000,10.064,FALSE
45,"12/03/2010",45.80,2.818,,,,,,182.1628441,8.992,FALSE
41,"12/03/2010",33.40,2.684,,,,,,189.7372075,7.541,FALSE
30,"12/03/2010",57.10,2.667,,,,,,211.0375510,8.324,FALSE
42,"12/03/2010",52.33,3.034,,,,,,126.6042857,9.765,FALSE
38,"12/03/2010",50.11,2.925,,,,,,126.6042857,13.975,FALSE
3,"12/03/2010",63.08,2.667,,,,,,214.7027646,7.368,FALSE
40,"12/03/2010",35.10,2.805,,,,,,131.7840000,5.892,FALSE
32,"12/03/2010",39.88,2.684,,,,,,189.7372075,9.014,FALSE
34,"12/03/2010",42.26,2.704,,,,,,126.6042857,9.521,FALSE
26,"12/03/2010",31.10,2.805,,,,,,131.7840000,8.488,FALSE
18,"12/03/2010",42.39,2.805,,,,,,131.7840000,9.202,FALSE
12,"12/03/2010",50.11,2.925,,,,,,126.6042857,13.975,FALSE
23,"12/03/2010",36.07,2.805,,,,,,131.7840000,5.892,FALSE
37,"12/03/2010",61.96,2.667,,,,,,210.1413607,8.554,FALSE
20,"12/03/2010",43.82,2.818,,,,,,204.5250598,8.187,FALSE
19,"12/03/2010",39.06,2.938,,,,,,131.7840000,8.350,FALSE
31,"12/03/2010",57.10,2.667,,,,,,211.0375510,8.324,FALSE
9,"12/03/2010",55.76,2.667,,,,,,214.9328990,6.415,FALSE
4,"12/03/2010",49.63,2.704,,,,,,126.6042857,8.623,FALSE
28,"12/03/2010",50.11,2.925,,,,,,126.6042857,13.975,FALSE
5,"12/03/2010",58.50,2.667,,,,,,211.9371839,6.566,FALSE
1,"12/03/2010",57.79,2.667,,,,,,211.3806429,8.106,FALSE
21,"12/03/2010",57.10,2.667,,,,,,211.0375510,8.324,FALSE
36,"12/03/2010",61.96,2.619,,,,,,210.1413607,8.554,FALSE
15,"12/03/2010",41.39,2.938,,,,,,131.7840000,8.350,FALSE
14,"12/03/2010",45.80,2.818,,,,,,182.1628441,8.992,FALSE
43,"12/03/2010",53.67,2.667,,,,,,203.3436582,9.521,FALSE
8,"12/03/2010",49.76,2.667,,,,,,214.7492449,6.299,FALSE
35,"12/03/2010",45.98,2.818,,,,,,135.6270013,9.262,FALSE
22,"12/03/2010",43.43,2.805,,,,,,135.6270013,8.283,FALSE
2,"12/03/2010",57.56,2.667,,,,,,211.0375510,8.324,FALSE
25,"12/03/2010",40.05,2.818,,,,,,204.5250598,8.187,FALSE
17,"12/03/2010",29.71,2.733,,,,,,126.6042857,6.548,FALSE
39,"12/03/2010",61.88,2.667,,,,,,210.1413607,8.554,FALSE
11,"12/03/2010",64.10,2.667,,,,,,214.7027646,7.368,FALSE
10,"12/03/2010",52.33,3.034,,,,,,126.6042857,9.765,FALSE
6,"19/03/2010",56.55,2.720,,,,,,212.7351935,7.259,FALSE
24,"19/03/2010",46.09,2.960,,,,,,131.8242903,8.326,FALSE
13,"19/03/2010",42.49,2.782,,,,,,126.6066452,8.316,FALSE
16,"19/03/2010",33.45,2.692,,,,,,189.7342620,7.039,FALSE
29,"19/03/2010",46.03,2.834,,,,,,131.8242903,10.064,FALSE
45,"19/03/2010",48.79,2.844,,,,,,182.0779857,8.992,FALSE
41,"19/03/2010",36.70,2.692,,,,,,189.7342620,7.541,FALSE
30,"19/03/2010",54.68,2.720,,,,,,210.8733316,8.324,FALSE
42,"19/03/2010",61.46,3.054,,,,,,126.6066452,9.765,FALSE
38,"19/03/2010",59.57,3.054,,,,,,126.6066452,13.975,FALSE
3,"19/03/2010",60.42,2.720,,,,,,214.5301219,7.368,FALSE
40,"19/03/2010",40.54,2.834,,,,,,131.8242903,5.892,FALSE
32,"19/03/2010",42.43,2.692,,,,,,189.7342620,9.014,FALSE
34,"19/03/2010",45.86,2.743,,,,,,126.6066452,9.521,FALSE
26,"19/03/2010",35.34,2.834,,,,,,131.8242903,8.488,FALSE
18,"19/03/2010",45.42,2.834,,,,,,131.8242903,9.202,FALSE
12,"19/03/2010",59.57,3.054,,,,,,126.6066452,13.975,FALSE
23,"19/03/2010",43.01,2.834,,,,,,131.8242903,5.892,FALSE
37,"19/03/2010",59.56,2.720,,,,,,209.9803208,8.554,FALSE
20,"19/03/2010",47.32,2.844,,,,,,204.3782258,8.187,FALSE
19,"19/03/2010",43.74,2.960,,,,,,131.8242903,8.350,FALSE
31,"19/03/2010",54.68,2.720,,,,,,210.8733316,8.324,FALSE
9,"19/03/2010",53.15,2.720,,,,,,214.7597274,6.415,FALSE
4,"19/03/2010",55.19,2.743,,,,,,126.6066452,8.623,FALSE
28,"19/03/2010",59.57,3.054,,,,,,126.6066452,13.975,FALSE
5,"19/03/2010",55.46,2.720,,,,,,211.7708970,6.566,FALSE
1,"19/03/2010",54.58,2.720,,,,,,211.2156350,8.106,FALSE
21,"19/03/2010",54.68,2.720,,,,,,210.8733316,8.324,FALSE
36,"19/03/2010",59.56,2.701,,,,,,209.9803208,8.554,FALSE
15,"19/03/2010",44.69,2.960,,,,,,131.8242903,8.350,FALSE
14,"19/03/2010",48.79,2.844,,,,,,182.0779857,8.992,FALSE
43,"19/03/2010",56.00,2.720,,,,,,203.1951590,9.521,FALSE
8,"19/03/2010",47.26,2.720,,,,,,214.5764954,6.299,FALSE
35,"19/03/2010",49.04,2.844,,,,,,135.6682247,9.262,FALSE
22,"19/03/2010",46.03,2.834,,,,,,135.6682247,8.283,FALSE
2,"19/03/2010",54.52,2.720,,,,,,210.8733316,8.324,FALSE
25,"19/03/2010",45.00,2.844,,,,,,204.3782258,8.187,FALSE
17,"19/03/2010",33.96,2.782,,,,,,126.6066452,6.548,FALSE
39,"19/03/2010",58.62,2.720,,,,,,209.9803208,8.554,FALSE
11,"19/03/2010",61.51,2.720,,,,,,214.5301219,7.368,FALSE
10,"19/03/2010",61.46,3.054,,,,,,126.6066452,9.765,FALSE
6,"26/03/2010",53.74,2.732,,,,,,212.5337370,7.259,FALSE
24,"26/03/2010",48.87,2.963,,,,,,131.8631290,8.326,FALSE
13,"26/03/2010",41.48,2.819,,,,,,126.6050645,8.316,FALSE
16,"26/03/2010",29.88,2.717,,,,,,189.7195417,7.039,FALSE
29,"26/03/2010",48.56,2.831,,,,,,131.8631290,10.064,FALSE
45,"26/03/2010",54.36,2.854,,,,,,181.9718697,8.992,FALSE
41,"26/03/2010",32.30,2.717,,,,,,189.7195417,7.541,FALSE
30,"26/03/2010",51.66,2.732,,,,,,210.6766095,8.324,FALSE
42,"26/03/2010",60.05,2.980,,,,,,126.6050645,9.765,FALSE
38,"26/03/2010",60.06,3.083,,,,,,126.6050645,13.975,FALSE
3,"26/03/2010",57.06,2.732,,,,,,214.3241011,7.368,FALSE
40,"26/03/2010",39.51,2.831,,,,,,131.8631290,5.892,FALSE
32,"26/03/2010",36.59,2.717,,,,,,189.7195417,9.014,FALSE
34,"26/03/2010",42.91,2.752,,,,,,126.6050645,9.521,FALSE
26,"26/03/2010",35.26,2.831,,,,,,131.8631290,8.488,FALSE
18,"26/03/2010",47.55,2.831,,,,,,131.8631290,9.202,FALSE
12,"26/03/2010",60.06,3.083,,,,,,126.6050645,13.975,FALSE
23,"26/03/2010",38.59,2.831,,,,,,131.8631290,5.892,FALSE
37,"26/03/2010",55.76,2.732,,,,,,209.7870932,8.554,FALSE
20,"26/03/2010",50.49,2.854,,,,,,204.2017550,8.187,FALSE
19,"26/03/2010",39.07,2.963,,,,,,131.8631290,8.350,FALSE
31,"26/03/2010",51.66,2.732,,,,,,210.6766095,8.324,FALSE
9,"26/03/2010",51.80,2.732,,,,,,214.5531227,6.415,FALSE
4,"26/03/2010",39.91,2.752,,,,,,126.6050645,8.623,FALSE
28,"26/03/2010",60.06,3.083,,,,,,126.6050645,13.975,FALSE
5,"26/03/2010",52.47,2.732,,,,,,211.5718925,6.566,FALSE
1,"26/03/2010",51.45,2.732,,,,,,211.0180424,8.106,FALSE
21,"26/03/2010",51.66,2.732,,,,,,210.6766095,8.324,FALSE
36,"26/03/2010",55.76,2.711,,,,,,209.7870932,8.554,FALSE
15,"26/03/2010",39.53,2.963,,,,,,131.8631290,8.350,FALSE
14,"26/03/2010",54.36,2.854,,,,,,181.9718697,8.992,FALSE
43,"26/03/2010",54.53,2.732,,,,,,203.0165945,9.521,FALSE
8,"26/03/2010",46.51,2.732,,,,,,214.3703567,6.299,FALSE
35,"26/03/2010",52.34,2.854,,,,,,135.7073618,9.262,FALSE
22,"26/03/2010",48.56,2.831,,,,,,135.7073618,8.283,FALSE
2,"26/03/2010",51.26,2.732,,,,,,210.6766095,8.324,FALSE
25,"26/03/2010",45.84,2.854,,,,,,204.2017550,8.187,FALSE
17,"26/03/2010",35.59,2.819,,,,,,126.6050645,6.548,FALSE
39,"26/03/2010",54.83,2.732,,,,,,209.7870932,8.554,FALSE
11,"26/03/2010",58.09,2.732,,,,,,214.3241011,7.368,FALSE
10,"26/03/2010",60.05,2.980,,,,,,126.6050645,9.765,FALSE
6,"02/04/2010",64.94,2.719,,,,,,212.3322805,7.092,FALSE
24,"02/04/2010",45.22,2.957,,,,,,131.9019677,8.211,FALSE
13,"02/04/2010",42.15,2.842,,,,,,126.6034839,8.107,FALSE
16,"02/04/2010",36.19,2.725,,,,,,189.7048215,6.842,FALSE
29,"02/04/2010",44.96,2.826,,,,,,131.9019677,10.160,FALSE
45,"02/04/2010",47.74,2.850,,,,,,181.8657537,8.899,FALSE
41,"02/04/2010",41.31,2.725,,,,,,189.7048215,7.363,FALSE
30,"02/04/2010",64.12,2.719,,,,,,210.4798874,8.200,FALSE
42,"02/04/2010",63.66,3.086,,,,,,126.6034839,9.524,FALSE
38,"02/04/2010",59.84,3.086,,,,,,126.6034839,14.099,FALSE
3,"02/04/2010",65.56,2.719,,,,,,214.1180803,7.343,FALSE
40,"02/04/2010",41.39,2.826,,,,,,131.9019677,5.435,FALSE
32,"02/04/2010",48.28,2.725,,,,,,189.7048215,8.963,FALSE
34,"02/04/2010",50.07,2.740,,,,,,126.6034839,9.593,FALSE
26,"02/04/2010",36.53,2.826,,,,,,131.9019677,8.512,FALSE
18,"02/04/2010",45.63,2.826,,,,,,131.9019677,9.269,FALSE
12,"02/04/2010",59.84,3.086,,,,,,126.6034839,14.099,FALSE
23,"02/04/2010",40.50,2.826,,,,,,131.9019677,5.435,FALSE
37,"02/04/2010",63.43,2.719,,,,,,209.5938656,8.464,FALSE
20,"02/04/2010",51.00,2.850,,,,,,204.0252842,7.856,FALSE
19,"02/04/2010",45.26,2.957,,,,,,131.9019677,8.185,FALSE
31,"02/04/2010",64.12,2.719,,,,,,210.4798874,8.200,FALSE
9,"02/04/2010",65.21,2.719,,,,,,214.3465181,6.384,FALSE
4,"02/04/2010",48.77,2.740,,,,,,126.6034839,7.896,FALSE
28,"02/04/2010",59.84,3.086,,,,,,126.6034839,14.099,FALSE
5,"02/04/2010",63.18,2.719,,,,,,211.3728880,6.465,FALSE
1,"02/04/2010",62.27,2.719,,,,,,210.8204499,7.808,FALSE
21,"02/04/2010",64.12,2.719,,,,,,210.4798874,8.200,FALSE
36,"02/04/2010",63.43,2.708,,,,,,209.5938656,8.464,FALSE
15,"02/04/2010",45.27,2.957,,,,,,131.9019677,8.185,FALSE
14,"02/04/2010",47.74,2.850,,,,,,181.8657537,8.899,FALSE
43,"02/04/2010",62.19,2.719,,,,,,202.8380300,9.593,FALSE
8,"02/04/2010",60.18,2.719,,,,,,214.1642180,6.290,FALSE
35,"02/04/2010",46.90,2.850,,,,,,135.7464988,9.051,FALSE
22,"02/04/2010",44.96,2.826,,,,,,135.7464988,8.348,FALSE
2,"02/04/2010",63.27,2.719,,,,,,210.4798874,8.200,FALSE
