"idcol","DateTime","NN5_3"
1,1997-05-18,13.605
1,1998-01-19,12.132
1,1997-06-11,28.09
1,1996-10-06,14.626
1,1998-02-14,18.226
1,1997-06-07,14.243
1,1997-08-28,47.293
1,1998-02-06,31.59
1,1997-08-05,20.21
1,1996-05-06,12.174
1,1997-05-17,13.62
1,1996-10-11,23.554
1,1996-09-08,9.495
1,1997-03-28,0.0
1,1997-01-03,20.096
1,1996-11-21,34.17
1,1997-10-10,31.817
1,1996-08-14,24.15
1,1996-04-04,22.704
1,1996-03-22,20.621
1,1996-07-28,11.21
1,1997-11-26,39.725
1,1997-05-31,16.837
1,1997-04-07,9.58
1,1998-01-07,33.702
1,1996-07-12,23.427
1,1997-02-12,24.093
1,1996-06-05,21.712
1,1996-11-12,13.152
1,1997-04-29,19.005
1,1996-08-24,
1,1997-06-12,37.543
1,1998-02-11,36.919
1,1997-08-10,16.057
1,1997-04-02,20.876
1,1996-05-28,10.785
1,1997-07-20,16.964
1,1996-09-11,27.31
1,1996-12-14,17.56
1,1997-10-02,45.224
1,1997-12-23,53.104
1,1996-10-25,25.397
1,1996-05-12,7.129
1,1997-02-16,11.763
1,1996-05-27,7.157
1,1998-02-23,12.968
1,1997-12-28,23.583
1,1996-09-27,22.024
1,1997-05-11,14.442
1,1996-11-10,12.132
1,1997-11-02,17.248
1,1997-05-09,25.439
1,1997-02-21,26.247
1,1998-01-10,17.021
1,1996-07-17,25.539
1,1997-12-14,21.542
1,1997-09-07,1.772
1,1998-02-05,45.252
1,1996-06-06,32.667
1,1996-05-16,30.499
1,1996-11-05,14.555
1,1996-10-02,25.397
1,1997-01-15,26.431
1,1997-04-20,11.976
1,1998-01-26,15.15
1,1997-03-15,13.861
1,1997-09-06,9.765
1,1997-12-11,48.98
1,1997-08-03,15.717
1,1996-03-19,14.399
1,1996-04-14,10.728
1,1996-05-15,23.143
1,1997-12-18,57.993
1,1997-06-23,14.371
1,1996-03-24,11.536
1,1997-11-11,21.981
1,1996-07-11,33.305
1,1997-03-14,23.384
1,1996-11-17,13.903
1,1998-02-22,17.928
1,1996-09-05,37.514
1,1996-07-01,12.344
1,1997-05-29,39.201
1,1997-05-08,35.048
1,1996-10-23,29.989
1,1997-03-21,27.438
1,1997-11-16,17.446
1,1997-06-26,41.851
1,1996-08-15,35.87
1,1996-03-23,13.804
1,1997-03-13,36.763
1,1996-11-16,13.478
1,1997-09-23,21.173
1,1996-08-28,27.934
1,1997-02-08,13.265
1,1996-06-03,10.799
1,1996-07-23,12.429
1,1997-02-25,17.46
1,1997-03-24,12.259
1,1997-05-05,9.864
1,1996-09-19,36.395
1,1996-04-27,14.031
1,1997-02-13,35.813
1,1996-05-24,24.391
1,1997-06-15,14.187
1,1998-01-15,44.104
1,1996-05-18,
1,1997-01-02,26.417
1,1997-06-28,15.49
1,1997-05-25,16.78
1,1996-07-14,11.267
1,1997-12-15,15.675
1,1997-07-04,24.603
1,1996-10-17,33.418
1,1996-08-13,13.62
1,1997-05-19,12.089
1,1996-12-19,44.529
1,1997-07-19,15.065
1,1997-03-11,15.887
1,1997-11-25,21.953
1,1997-09-21,17.489
1,1997-12-24,6.704
1,1997-08-16,0.0
1,1997-04-08,16.624
1,1997-01-01,12.798
1,1996-04-29,11.706
1,1996-04-08,11.437
1,1997-05-22,43.325
1,1997-09-09,22.01
1,1997-05-01,39.484
1,1996-12-01,28.571
1,1997-08-04,12.429
1,1997-03-29,0.0
1,1997-04-09,27.239
1,1996-12-31,7.526
1,1996-08-23,
1,1997-02-22,15.731
1,1997-12-19,44.643
1,1997-06-05,37.642
1,1996-05-31,20.224
1,1996-03-27,25.213
1,1997-03-17,9.751
1,1997-08-24,13.421
1,1997-12-09,23.54
1,1997-11-27,51.488
1,1997-05-13,19.714
1,1996-06-01,15.179
1,1996-07-02,14.81
1,1996-06-18,16.95
1,1996-07-09,13.676
1,1997-11-28,34.736
1,1997-06-17,16.667
1,1996-07-24,30.003
1,1996-08-25,
1,1996-10-08,17.659
1,1998-03-19,21.684
1,1996-08-02,22.662
1,1996-10-04,25.383
1,1997-01-17,23.299
1,1996-04-30,17.503
1,1996-08-17,13.988
1,1997-06-18,22.647
1,1998-03-03,24.603
1,1997-09-02,20.394
1,1996-12-15,13.492
1,1997-07-17,37.543
1,1997-07-15,20.437
1,1996-12-11,27.721
1,1997-12-03,33.631
1,1996-08-22,32.044
1,1997-12-01,14.739
1,1997-03-01,14.484
1,1996-08-18,13.336
1,1996-06-08,14.782
1,1996-05-26,9.864
1,1996-05-05,27.098
1,1997-12-10,38.733
1,1997-12-27,18.098
1,1997-08-19,21.103
1,1997-08-13,28.784
1,1997-07-10,35.87
1,1996-04-11,20.876
1,1996-12-25,
1,1997-05-23,24.32
1,1997-01-11,9.269
1,1997-11-10,15.958
1,1997-11-29,15.59
1,1998-01-01,24.986
1,1997-08-20,32.667
1,1996-06-24,14.314
1,1997-10-16,43.211
1,1996-11-25,10.998
1,1997-11-17,13.138
1,1996-09-21,13.152
1,1997-05-24,15.207
1,1996-06-12,23.838
1,1997-07-05,14.541
1,1996-12-22,32.455
1,1997-03-16,16.043
1,1997-03-10,10.899
1,1996-10-10,34.453
1,1996-06-02,13.138
1,1997-11-24,15.037
1,1996-09-07,12.798
1,1996-09-26,34.481
1,1996-11-09,12.996
1,1998-03-17,13.705
1,1998-01-13,18.141
1,1996-11-24,10.87
1,1997-09-12,28.685
1,1997-05-21,29.918
1,1996-11-20,24.844
1,1996-12-17,21.613
1,1997-08-01,25.595
1,1996-04-16,14.923
1,1996-08-03,13.308
1,1997-12-20,24.121
1,1997-08-25,18.906
1,1996-04-21,3.515
1,1997-03-31,11.947
1,1997-12-06,18.821
1,1996-11-11,11.749
1,1996-07-03,25.269
1,1996-10-29,15.958
1,1996-04-15,8.957
1,1996-06-15,0.0
1,1997-04-03,39.031
1,1997-05-04,10.828
1,1997-02-18,17.545
1,1996-06-11,12.613
1,1997-06-01,16.298
1,1996-08-11,12.897
1,1996-07-29,13.024
1,1997-04-12,5.357
1,1996-08-07,19.926
1,1998-03-18,
1,1997-11-21,30.414
1,1997-04-06,9.906
1,1996-11-06,25.454
1,1998-02-13,27.296
1,1996-06-16,9.297
1,1997-03-22,14.895
1,1998-01-29,46.485
1,1997-05-20,17.588
1,1996-07-30,14.909
1,1998-03-06,30.811
1,1997-11-22,19.785
1,1996-10-27,13.308
1,1996-07-20,13.875
1,1996-06-17,11.366
1,1997-10-30,46.301
1,1997-04-16,25.383
1,1996-10-13,12.854
1,1996-04-10,17.914
1,1997-12-12,34.41
1,1997-09-05,21.358
1,1998-03-04,31.533
1,1997-12-08,13.039
1,1996-06-04,15.575
1,1996-09-30,9.68
1,1997-01-06,8.844
1,1997-10-23,42.361
1,1996-04-17,23.243
1,1997-03-04,19.912
1,1996-12-29,19.175
1,1996-12-08,12.061
1,1998-03-15,16.936
1,1997-07-29,19.572
1,1996-03-29,24.787
1,1996-07-16,15.717
1,1998-02-08,17.474
1,1996-12-02,11.409
1,1998-02-27,32.171
1,1997-12-13,20.762
1,1996-04-01,11.905
1,1996-12-13,31.151
1,1997-01-20,11.65
1,1997-08-12,18.722
1,1996-04-12,21.046
1,1998-01-04,15.349
1,1997-01-29,28.401
1,1997-09-24,33.39
1,1996-06-25,18.07
1,1997-07-14,8.376
1,1997-02-01,11.862
1,1997-10-13,12.443
1,1996-10-19,13.648
1,1996-05-29,7.086
1,1998-03-07,20.522
1,1997-01-28,14.867
1,1996-07-27,14.498
1,1997-05-15,41.27
1,1996-05-21,12.783
1,1997-02-27,40.873
1,1997-02-04,18.948
1,1997-03-26,35.728
1,1997-04-27,15.009
1,1997-12-22,35.402
1,1996-08-01,29.677
1,1998-01-27,13.705
1,1996-10-18,23.356
1,1997-08-06,24.915
1,1998-01-25,18.169
1,1997-09-26,63.563
1,1997-05-14,28.09
1,1996-11-13,24.405
1,1997-07-16,33.05
1,1997-05-06,14.116
1,1997-08-30,17.673
1,1997-10-11,16.766
1,1998-03-09,7.44
1,1997-09-08,16.383
1,1997-08-26,17.857
1,1998-01-24,19.77
1,1997-10-07,20.55
1,1996-03-21,28.784
1,1997-09-04,47.832
1,1996-08-09,21.995
1,1996-09-10,15.377
1,1996-10-30,29.053
1,1997-01-16,32.469
1,1998-01-22,42.078
1,1997-04-18,25.028
1,1998-02-01,19.756
1,1997-05-02,26.403
1,1996-08-31,15.42
1,1996-08-16,27.792
1,1996-06-14,7.355
1,1997-07-30,25.921
