COMMENT_ID,CUSTOMER_ID,COMMENT_DT,CHANNEL_TYPE,CHANNEL_ID,COMMENT_TEXT
T00008088,119658,2018-03-14 15:02:00.000,C,C0000506396,Sample comment
T00008089,151678,2018-03-14 15:02:00.000,C,C0000507018,Sample comment
T00008090,87638,2018-03-14 15:02:00.000,C,C0000504829,Sample comment
T00008091,99996,2018-03-14 16:14:00.000,W,W0000200285,Sample comment
T00008092,67976,2018-03-14 16:14:00.000,W,W0000200284,Sample comment
T00008093,194056,2018-03-14 16:14:00.000,W,W0000200287,Sample comment
T00008094,132016,2018-03-14 16:14:00.000,W,W0000200286,Sample comment
T00008095,67976,2018-03-14 16:17:00.000,C,C0000503878,Sample comment
T00008096,99996,2018-03-14 16:17:00.000,C,C0000505454,Sample comment
T00008097,132016,2018-03-14 16:17:00.000,C,C0000506867,Sample comment
T00008098,202853,2018-03-14 17:24:00.000,C,C0000507391,Sample comment
T00008099,108793,2018-03-14 17:24:00.000,C,C0000505862,Sample comment
T00008100,99606,2018-03-14 17:48:00.000,C,C0000505436,Sample comment
T00008101,67586,2018-03-14 17:48:00.000,C,C0000503855,Sample comment
T00008102,67586,2018-03-14 17:51:00.000,W,W0000200305,Sample comment
T00008103,99606,2018-03-14 17:51:00.000,W,W0000200306,Sample comment
T00008104,193666,2018-03-14 17:51:00.000,W,W0000200307,Sample comment
T00008105,70000,2018-03-14 18:28:00.000,C,C0000503984,Sample comment
T00008106,102020,2018-03-14 18:28:00.000,C,C0000505559,Sample comment
T00008107,110486,2018-03-14 19:09:00.000,W,W0000200315,Sample comment
T00008108,174526,2018-03-14 19:09:00.000,W,W0000200316,Sample comment
T00008109,127269,2018-03-14 19:30:00.000,C,C0000506788,Sample comment
T00008110,95249,2018-03-14 19:30:00.000,C,C0000505219,Sample comment
T00008111,253300,2018-03-14 19:30:00.000,C,C0000507738,Sample comment
T00008112,204829,2018-03-14 20:12:00.000,C,C0000507404,Sample comment
T00008113,110769,2018-03-14 20:12:00.000,C,C0000505959,Sample comment
T00008114,236800,2018-03-14 20:12:00.000,C,C0000507632,Sample comment
T00008115,65037,2018-03-14 21:10:00.000,C,C0000503719,Sample comment
T00008116,97057,2018-03-14 21:10:00.000,C,C0000505318,Sample comment
T00008117,223088,2018-03-14 21:10:00.000,C,C0000507528,Sample comment
T00008118,90469,2018-03-14 21:27:00.000,W,W0000200333,Sample comment
T00008119,122489,2018-03-14 21:27:00.000,W,W0000200334,Sample comment
T00008120,186529,2018-03-14 21:27:00.000,W,W0000200335,Sample comment
T00008121,216549,2018-03-14 21:27:00.000,W,W0000200336,Sample comment
T00008122,191305,2018-03-14 21:29:00.000,C,C0000507302,Sample comment
T00008123,97245,2018-03-14 21:29:00.000,C,C0000505327,Sample comment
T00008124,223276,2018-03-14 21:29:00.000,C,C0000507530,Sample comment
T00008125,110338,2018-03-14 21:34:00.000,W,W0000200343,Sample comment
T00008126,236369,2018-03-14 21:34:00.000,W,W0000200344,Sample comment
T00008127,251855,2018-03-15 00:30:00.000,W,W0000200353,Sample comment
T00008128,125824,2018-03-15 00:30:00.000,W,W0000200350,Sample comment
T00008129,93804,2018-03-15 00:30:00.000,W,W0000200349,Sample comment
T00008130,157844,2018-03-15 00:30:00.000,W,W0000200351,Sample comment
T00008131,189864,2018-03-15 00:30:00.000,W,W0000200352,Sample comment
T00008132,85417,2018-03-15 00:39:00.000,C,C0000504750,Sample comment
T00008133,149457,2018-03-15 00:39:00.000,C,C0000507001,Sample comment
T00008134,117437,2018-03-15 00:39:00.000,C,C0000506315,Sample comment
T00008135,85417,2018-03-15 00:41:00.000,W,W0000200355,Sample comment
T00008136,117437,2018-03-15 00:41:00.000,W,W0000200356,Sample comment
T00008137,114036,2018-03-15 01:19:00.000,W,W0000200367,Sample comment
T00008138,178076,2018-03-15 01:19:00.000,W,W0000200368,Sample comment
T00008139,233493,2018-03-15 03:17:00.000,W,W0000200388,Sample comment
T00008140,107462,2018-03-15 03:17:00.000,W,W0000200385,Sample comment
T00008141,139482,2018-03-15 03:17:00.000,W,W0000200386,Sample comment
T00008142,99016,2018-03-15 04:03:00.000,C,C0000505420,Sample comment
T00008143,66996,2018-03-15 04:03:00.000,C,C0000503834,Sample comment
T00008144,101125,2018-03-15 07:32:00.000,W,W0000200430,Sample comment
T00008145,133145,2018-03-15 07:32:00.000,W,W0000200431,Sample comment
T00008146,69105,2018-03-15 07:32:00.000,W,W0000200429,Sample comment
T00008147,227156,2018-03-15 07:32:00.000,W,W0000200432,Sample comment
T00008148,99960,2018-03-15 10:28:00.000,W,W0000200447,Sample comment
T00008149,67940,2018-03-15 10:28:00.000,W,W0000200446,Sample comment
T00008150,91022,2018-03-15 11:34:00.000,C,C0000504989,Sample comment
T00008151,123042,2018-03-15 11:34:00.000,C,C0000506556,Sample comment
T00008152,104651,2018-03-15 12:02:00.000,C,C0000505665,Sample comment
T00008153,72631,2018-03-15 12:02:00.000,C,C0000504093,Sample comment
T00008154,198711,2018-03-15 12:09:00.000,W,W0000200458,Sample comment
T00008155,104651,2018-03-15 12:09:00.000,W,W0000200457,Sample comment
T00008156,72631,2018-03-15 12:09:00.000,W,W0000200456,Sample comment
T00008157,228227,2018-03-15 14:22:00.000,C,C0000507565,Sample comment
T00008158,70176,2018-03-15 14:22:00.000,C,C0000503991,Sample comment
T00008159,102196,2018-03-15 14:22:00.000,C,C0000505565,Sample comment
T00008160,105584,2018-03-15 17:00:00.000,C,C0000505700,Sample comment
T00008161,73564,2018-03-15 17:00:00.000,C,C0000504134,Sample comment
T00008162,92781,2018-03-15 17:33:00.000,W,W0000200497,Sample comment
T00008163,124801,2018-03-15 17:33:00.000,W,W0000200498,Sample comment
T00008164,188841,2018-03-15 17:33:00.000,W,W0000200499,Sample comment
T00008165,110667,2018-03-15 17:40:00.000,C,C0000505950,Sample comment
T00008166,204727,2018-03-15 17:40:00.000,C,C0000507402,Sample comment
T00008167,121211,2018-03-15 17:45:00.000,W,W0000200505,Sample comment
T00008168,89191,2018-03-15 17:45:00.000,W,W0000200504,Sample comment
T00008169,126603,2018-03-15 18:24:00.000,C,C0000506758,Sample comment
T00008170,94583,2018-03-15 18:24:00.000,C,C0000505192,Sample comment
T00008171,114415,2018-03-15 20:53:00.000,C,C0000506166,Sample comment
T00008172,240446,2018-03-15 20:53:00.000,C,C0000507655,Sample comment
T00008173,224638,2018-03-15 21:39:00.000,W,W0000200512,Sample comment
T00008174,98607,2018-03-15 21:39:00.000,W,W0000200511,Sample comment
T00008175,66587,2018-03-15 21:39:00.000,W,W0000200510,Sample comment
T00008176,105610,2018-03-15 22:05:00.000,C,C0000505702,Sample comment
T00008177,73590,2018-03-15 22:05:00.000,C,C0000504139,Sample comment
T00008178,136058,2018-03-16 00:24:00.000,C,C0000506882,Sample comment
T00008179,104038,2018-03-16 00:24:00.000,C,C0000505636,Sample comment
T00008180,168078,2018-03-16 00:24:00.000,C,C0000507137,Sample comment
T00008181,72018,2018-03-16 00:24:00.000,C,C0000504062,Sample comment
T00008182,109935,2018-03-16 00:42:00.000,C,C0000505915,Sample comment
T00008183,141955,2018-03-16 00:42:00.000,C,C0000506932,Sample comment
T00008184,97245,2018-03-16 01:29:00.000,W,W0000200548,Sample comment
T00008185,102742,2018-03-16 05:50:00.000,W,W0000200574,Sample comment
T00008186,70722,2018-03-16 05:50:00.000,W,W0000200573,Sample comment
T00008187,110338,2018-03-16 07:31:00.000,C,C0000505938,Sample comment
T00008188,174378,2018-03-16 07:31:00.000,C,C0000507180,Sample comment
T00008189,111300,2018-03-16 07:41:00.000,W,W0000200588,Sample comment
T00008190,237331,2018-03-16 07:41:00.000,W,W0000200589,Sample comment
T00008191,111300,2018-03-16 07:46:00.000,C,C0000505994,Sample comment
T00008192,92943,2018-03-16 10:23:00.000,C,C0000505097,Sample comment
T00008193,124963,2018-03-16 10:23:00.000,C,C0000506663,Sample comment
T00008194,95132,2018-03-16 11:35:00.000,W,W0000200596,Sample comment
T00008195,127152,2018-03-16 11:35:00.000,W,W0000200597,Sample comment
T00008196,221212,2018-03-16 11:35:00.000,W,W0000200598,Sample comment
T00008197,253183,2018-03-16 11:35:00.000,W,W0000200599,Sample comment
T00008198,114209,2018-03-16 13:35:00.000,W,W0000200605,Sample comment
T00008199,114209,2018-03-16 13:37:00.000,C,C0000506157,Sample comment
T00008200,108885,2018-03-16 14:13:00.000,C,C0000505871,Sample comment
T00008201,104599,2018-03-16 15:35:00.000,C,C0000505664,Sample comment
T00008202,72579,2018-03-16 15:35:00.000,C,C0000504092,Sample comment
T00008203,165165,2018-03-16 17:41:00.000,C,C0000507116,Sample comment
T00008204,101125,2018-03-16 17:41:00.000,C,C0000505509,Sample comment
T00008205,69105,2018-03-16 17:41:00.000,C,C0000503935,Sample comment
T00008206,99960,2018-03-16 18:30:00.000,C,C0000505450,Sample comment
T00008207,131980,2018-03-16 18:30:00.000,C,C0000506865,Sample comment
T00008208,67940,2018-03-16 18:30:00.000,C,C0000503872,Sample comment
T00008209,73442,2018-03-16 18:33:00.000,W,W0000200664,Sample comment
T00008210,105462,2018-03-16 18:33:00.000,W,W0000200665,Sample comment
T00008211,106961,2018-03-16 18:49:00.000,C,C0000505774,Sample comment
T00008212,232992,2018-03-16 18:49:00.000,C,C0000507601,Sample comment
T00008213,109061,2018-03-16 19:00:00.000,W,W0000200681,Sample comment
T00008214,141081,2018-03-16 19:00:00.000,W,W0000200682,Sample comment
T00008215,141081,2018-03-16 19:07:00.000,C,C0000506927,Sample comment
T00008216,109061,2018-03-16 19:07:00.000,C,C0000505888,Sample comment
T00008217,201382,2018-03-16 20:03:00.000,C,C0000507378,Sample comment
T00008218,107322,2018-03-16 20:03:00.000,C,C0000505786,Sample comment
T00008219,201382,2018-03-16 20:06:00.000,W,W0000200695,Sample comment
T00008220,107322,2018-03-16 20:06:00.000,W,W0000200694,Sample comment
T00008221,116020,2018-03-16 20:18:00.000,W,W0000200707,Sample comment
T00008222,84000,2018-03-16 20:18:00.000,W,W0000200706,Sample comment
T00008223,116020,2018-03-16 20:26:00.000,C,C0000506252,Sample comment
T00008224,84000,2018-03-16 20:26:00.000,C,C0000504678,Sample comment
T00008225,84085,2018-03-17 00:09:00.000,C,C0000504681,Sample comment
T00008226,242136,2018-03-17 00:09:00.000,C,C0000507667,Sample comment
T00008227,116105,2018-03-17 00:09:00.000,C,C0000506256,Sample comment
T00008228,126603,2018-03-17 00:28:00.000,W,W0000200729,Sample comment
T00008229,190643,2018-03-17 00:28:00.000,W,W0000200730,Sample comment
T00008230,94583,2018-03-17 00:28:00.000,W,W0000200728,Sample comment
T00008231,120156,2018-03-17 00:45:00.000,W,W0000200734,Sample comment
T00008232,88136,2018-03-17 00:45:00.000,W,W0000200733,Sample comment
T00008233,120156,2018-03-17 00:49:00.000,C,C0000506421,Sample comment
T00008234,88136,2018-03-17 00:49:00.000,C,C0000504850,Sample comment
T00008235,214216,2018-03-17 00:49:00.000,C,C0000507456,Sample comment
T00008236,86316,2018-03-17 01:18:00.000,W,W0000200739,Sample comment
T00008237,118336,2018-03-17 01:18:00.000,W,W0000200740,Sample comment
T00008238,150356,2018-03-17 01:18:00.000,W,W0000200741,Sample comment
T00008239,110667,2018-03-17 03:03:00.000,W,W0000200743,Sample comment
T00008240,68102,2018-03-17 04:15:00.000,C,C0000503882,Sample comment
T00008241,100122,2018-03-17 04:15:00.000,C,C0000505456,Sample comment
T00008242,70657,2018-03-17 05:26:00.000,C,C0000504008,Sample comment
T00008243,102677,2018-03-17 05:26:00.000,C,C0000505583,Sample comment
T00008244,196737,2018-03-17 05:26:00.000,C,C0000507347,Sample comment
T00008245,166717,2018-03-17 05:26:00.000,C,C0000507131,Sample comment
T00008246,110062,2018-03-17 05:37:00.000,C,C0000505926,Sample comment
T00008247,110062,2018-03-17 05:39:00.000,W,W0000200763,Sample comment
T00008248,236093,2018-03-17 05:39:00.000,W,W0000200764,Sample comment
T00008249,121575,2018-03-17 06:20:00.000,W,W0000200767,Sample comment
T00008250,89555,2018-03-17 06:20:00.000,W,W0000200766,Sample comment
T00008251,185615,2018-03-17 06:20:00.000,W,W0000200768,Sample comment
T00008252,117665,2018-03-17 06:53:00.000,W,W0000200771,Sample comment
T00008253,85645,2018-03-17 06:53:00.000,W,W0000200770,Sample comment
T00008254,85645,2018-03-17 06:56:00.000,C,C0000504768,Sample comment
T00008255,117665,2018-03-17 06:56:00.000,C,C0000506326,Sample comment
T00008256,88911,2018-03-17 07:50:00.000,C,C0000504885,Sample comment
T00008257,120931,2018-03-17 07:50:00.000,C,C0000506456,Sample comment
T00008258,184971,2018-03-17 07:50:00.000,C,C0000507246,Sample comment
T00008259,152951,2018-03-17 07:50:00.000,C,C0000507027,Sample comment
T00008260,111314,2018-03-17 08:13:00.000,C,C0000505999,Sample comment
T00008261,70722,2018-03-17 14:45:00.000,C,C0000504015,Sample comment
T00008262,102742,2018-03-17 14:45:00.000,C,C0000505589,Sample comment
T00008263,253149,2018-03-17 14:58:00.000,W,W0000200796,Sample comment
T00008264,127118,2018-03-17 14:58:00.000,W,W0000200795,Sample comment
T00008265,95098,2018-03-17 14:58:00.000,W,W0000200793,Sample comment
T00008266,92943,2018-03-17 16:37:00.000,W,W0000200816,Sample comment
T00008267,219023,2018-03-17 16:37:00.000,W,W0000200818,Sample comment
T00008268,124963,2018-03-17 16:37:00.000,W,W0000200817,Sample comment
T00008269,95132,2018-03-17 17:24:00.000,C,C0000505215,Sample comment
T00008270,127152,2018-03-17 17:24:00.000,C,C0000506783,Sample comment
T00008271,89442,2018-03-17 18:44:00.000,C,C0000504909,Sample comment
T00008272,121462,2018-03-17 18:44:00.000,C,C0000506484,Sample comment
T00008273,215522,2018-03-17 18:44:00.000,C,C0000507465,Sample comment
T00008274,108885,2018-03-17 20:17:00.000,W,W0000200835,Sample comment
T00008275,172925,2018-03-17 20:17:00.000,W,W0000200836,Sample comment
T00008276,88555,2018-03-17 22:37:00.000,W,W0000200845,Sample comment
T00008277,184615,2018-03-17 22:37:00.000,W,W0000200848,Sample comment
T00008278,246606,2018-03-17 22:37:00.000,W,W0000200850,Sample comment
T00008279,152595,2018-03-17 22:37:00.000,W,W0000200847,Sample comment
T00008280,120575,2018-03-17 22:37:00.000,W,W0000200846,Sample comment
T00008281,214635,2018-03-17 22:37:00.000,W,W0000200849,Sample comment
T00008282,88555,2018-03-17 22:44:00.000,C,C0000504872,Sample comment
T00008283,120575,2018-03-17 22:44:00.000,C,C0000506442,Sample comment
T00008284,104039,2018-03-17 22:48:00.000,C,C0000505638,Sample comment
T00008285,72019,2018-03-17 22:48:00.000,C,C0000504063,Sample comment
T00008286,97106,2018-03-17 22:53:00.000,W,W0000200852,Sample comment
T00008287,199522,2018-03-17 23:55:00.000,C,C0000507362,Sample comment
T00008288,73442,2018-03-17 23:55:00.000,C,C0000504124,Sample comment
T00008289,105462,2018-03-17 23:55:00.000,C,C0000505693,Sample comment
T00008290,99138,2018-03-18 01:55:00.000,W,W0000200877,Sample comment
T00008291,67118,2018-03-18 01:55:00.000,W,W0000200876,Sample comment
T00008292,130104,2018-03-18 02:01:00.000,W,W0000200891,Sample comment
T00008293,98084,2018-03-18 02:01:00.000,W,W0000200889,Sample comment
T00008294,66064,2018-03-18 02:01:00.000,W,W0000200887,Sample comment
T00008295,162124,2018-03-18 02:01:00.000,W,W0000200892,Sample comment
T00008296,118336,2018-03-18 02:25:00.000,C,C0000506350,Sample comment
T00008297,150356,2018-03-18 02:25:00.000,C,C0000507007,Sample comment
T00008298,86316,2018-03-18 02:25:00.000,C,C0000504788,Sample comment
T00008299,182376,2018-03-18 02:25:00.000,C,C0000507233,Sample comment
T00008300,97591,2018-03-18 03:06:00.000,C,C0000505347,Sample comment
T00008301,110896,2018-03-18 03:21:00.000,W,W0000200916,Sample comment
T00008302,91012,2018-03-18 03:54:00.000,C,C0000504986,Sample comment
T00008303,123032,2018-03-18 03:54:00.000,C,C0000506552,Sample comment
T00008304,102735,2018-03-18 04:58:00.000,C,C0000505585,Sample comment
T00008305,70715,2018-03-18 04:58:00.000,C,C0000504011,Sample comment
T00008306,134755,2018-03-18 05:03:00.000,W,W0000200945,Sample comment
T00008307,70715,2018-03-18 05:03:00.000,W,W0000200943,Sample comment
T00008308,102735,2018-03-18 05:03:00.000,W,W0000200944,Sample comment
T00008309,96059,2018-03-18 05:14:00.000,W,W0000200952,Sample comment
T00008310,128079,2018-03-18 05:14:00.000,W,W0000200953,Sample comment
T00008311,73548,2018-03-18 06:00:00.000,W,W0000200958,Sample comment
T00008312,137588,2018-03-18 06:00:00.000,W,W0000200960,Sample comment
T00008313,105568,2018-03-18 06:00:00.000,W,W0000200959,Sample comment
T00008314,88447,2018-03-18 06:15:00.000,C,C0000504864,Sample comment
T00008315,120467,2018-03-18 06:15:00.000,C,C0000506431,Sample comment
T00008316,88447,2018-03-18 06:18:00.000,W,W0000200972,Sample comment
T00008317,120467,2018-03-18 06:18:00.000,W,W0000200973,Sample comment
T00008318,70000,2018-03-18 08:19:00.000,W,W0000200994,Sample comment
T00008319,102020,2018-03-18 08:19:00.000,W,W0000200995,Sample comment
T00008320,104969,2018-03-18 08:27:00.000,W,W0000201003,Sample comment
T00008321,169009,2018-03-18 08:27:00.000,W,W0000201004,Sample comment
T00008322,72949,2018-03-18 08:27:00.000,W,W0000201002,Sample comment
T00008323,72949,2018-03-18 08:31:00.000,C,C0000504102,Sample comment
T00008324,104969,2018-03-18 08:31:00.000,C,C0000505677,Sample comment
T00008325,231000,2018-03-18 08:31:00.000,C,C0000507580,Sample comment
T00008326,96517,2018-03-18 10:25:00.000,C,C0000505285,Sample comment
T00008327,222548,2018-03-18 10:25:00.000,C,C0000507522,Sample comment
T00008328,64497,2018-03-18 10:25:00.000,C,C0000503696,Sample comment
T00008329,115805,2018-03-18 14:13:00.000,W,W0000201034,Sample comment
T00008330,241836,2018-03-18 14:13:00.000,W,W0000201035,Sample comment
T00008331,1100064,2018-03-18 14:13:00.000,W,W0000201036,Sample comment
T00008332,1100064,2018-03-18 14:18:00.000,C,C0000507791,Sample comment
T00008333,115805,2018-03-18 14:18:00.000,C,C0000506236,Sample comment
T00008334,198098,2018-03-18 16:05:00.000,W,W0000201052,Sample comment
T00008335,72018,2018-03-18 16:05:00.000,W,W0000201050,Sample comment
T00008336,104038,2018-03-18 16:05:00.000,W,W0000201051,Sample comment
T00008337,86934,2018-03-18 17:53:00.000,W,W0000201055,Sample comment
T00008338,118954,2018-03-18 17:53:00.000,W,W0000201056,Sample comment
T00008339,150974,2018-03-18 17:53:00.000,W,W0000201057,Sample comment
T00008340,213014,2018-03-18 18:07:00.000,C,C0000507452,Sample comment
T00008341,86934,2018-03-18 18:07:00.000,C,C0000504813,Sample comment
T00008342,150974,2018-03-18 18:07:00.000,C,C0000507012,Sample comment
T00008343,118954,2018-03-18 18:07:00.000,C,C0000506374,Sample comment
T00008344,244985,2018-03-18 18:07:00.000,C,C0000507685,Sample comment
T00008345,110078,2018-03-18 18:18:00.000,W,W0000201065,Sample comment
T00008346,97839,2018-03-18 21:06:00.000,W,W0000201079,Sample comment
T00008347,191899,2018-03-18 21:06:00.000,W,W0000201080,Sample comment
T00008348,129859,2018-03-18 21:15:00.000,C,C0000506857,Sample comment
T00008349,223870,2018-03-18 21:15:00.000,C,C0000507533,Sample comment
T00008350,97839,2018-03-18 21:15:00.000,C,C0000505361,Sample comment
T00008351,112094,2018-03-18 22:04:00.000,C,C0000506053,Sample comment
T00008352,67980,2018-03-18 23:49:00.000,C,C0000503879,Sample comment
T00008353,164040,2018-03-18 23:49:00.000,C,C0000507109,Sample comment
T00008354,100000,2018-03-18 23:49:00.000,C,C0000505455,Sample comment
T00008355,153026,2018-03-19 00:43:00.000,W,W0000201114,Sample comment
T00008356,121006,2018-03-19 00:43:00.000,W,W0000201113,Sample comment
T00008357,88986,2018-03-19 00:43:00.000,W,W0000201112,Sample comment
T00008358,88986,2018-03-19 00:46:00.000,C,C0000504891,Sample comment
T00008359,121006,2018-03-19 00:46:00.000,C,C0000506463,Sample comment
T00008360,94214,2018-03-19 01:54:00.000,C,C0000505175,Sample comment
T00008361,126234,2018-03-19 01:54:00.000,C,C0000506741,Sample comment
T00008362,89049,2018-03-19 03:31:00.000,W,W0000201131,Sample comment
T00008363,121069,2018-03-19 03:31:00.000,W,W0000201132,Sample comment
T00008364,220362,2018-03-19 03:49:00.000,W,W0000201142,Sample comment
T00008365,94282,2018-03-19 03:49:00.000,W,W0000201139,Sample comment
T00008366,190342,2018-03-19 03:49:00.000,W,W0000201141,Sample comment
T00008367,126302,2018-03-19 03:49:00.000,W,W0000201140,Sample comment
T00008368,66403,2018-03-19 04:39:00.000,W,W0000201152,Sample comment
T00008369,98423,2018-03-19 04:39:00.000,W,W0000201153,Sample comment
T00008370,162463,2018-03-19 04:39:00.000,W,W0000201154,Sample comment
T00008371,106512,2018-03-19 07:59:00.000,W,W0000201179,Sample comment
T00008372,123628,2018-03-19 09:32:00.000,W,W0000201190,Sample comment
T00008373,91608,2018-03-19 09:32:00.000,W,W0000201189,Sample comment
