Policy_id,Customer_id,Policy_State,Policy_Premium_Amt,auto_make,auto_model,Policy_start_date,Policy_end_date
332897,2540822,IN  ,1244,Ford,Escape,2008-04-25,2009-04-25
607979,3603861,IL  ,1315,Mercedes,E400,2005-02-12,2006-02-12
933298,6425852,IL  ,1272,Suburu,Legacy,1993-08-03,1994-08-03
853360,7409287,IN  ,1074,Nissan,Ultima,2009-06-26,2010-06-26
931906,6625257,OH  ,1483,Nissan,Ultima,1995-02-07,1996-02-07
739452,4932905,IN  ,817,Suburu,Legacy,2015-06-10,2016-06-10
149472,7205402,OH  ,1651,Nissan,Ultima,2014-09-11,2015-09-11
574642,5787245,IL  ,1645,Volkswagen,Passat,1993-01-30,1994-01-30
812025,6600950,IL  ,1153,Accura,TL,2000-06-18,2001-06-18
502639,2181508,OH  ,1608,BMW,M5,1992-02-17,1993-02-17
553436,5317857,IL  ,1236,Nissan,Ultima,1991-06-03,1992-06-03
872814,7969131,IL  ,1141,Mercedes,E400,1992-06-13,1993-06-13
890026,8983716,IL  ,1090,Saab,92x,2008-05-16,2009-05-16
571462,6948744,IN  ,1285,Dodge,RAM,1991-02-11,1992-02-11
524215,5721194,OH  ,951,Accura,RSX,1990-06-24,1991-06-24
208303,1976899,OH  ,823,Mercedes,E400,1991-05-03,1992-05-03
797934,1797198,IN  ,966,Volkswagen,Passat,1999-04-07,2000-04-07
175553,5024827,OH  ,1588,Saab,95,2002-04-25,2003-04-25
789208,6516530,OH  ,1304,Dodge,Neon,2002-10-12,2003-10-12
669506,1656672,IN  ,1320,Honda,Civic,2010-01-29,2011-01-29
406572,6442100,OH  ,1449,Ford,Escape,2002-03-25,2003-03-25
178081,1730452,IN  ,976,Suburu,Legacy,1990-07-20,1991-07-20
284834,5173281,OH  ,1664,Audi,A3,2009-08-03,2010-08-03
515222,6447002,IL  ,1366,BMW,X6,2010-12-18,2011-12-18
872734,4158226,IN  ,1003,Accura,MDX,1990-05-19,1991-05-19
886478,5136692,OH  ,1472,Accura,MDX,1991-09-10,1992-09-10
613226,4439853,IN  ,1595,Jeep,Wrangler,1991-08-22,1992-08-22
155609,8716335,OH  ,1235,Accura,RSX,1992-09-03,1993-09-03
212585,8369854,IL  ,1644,Saab,95,2015-01-05,2016-01-05
395274,3619975,IL  ,1272,BMW,X5,2013-05-02,2014-05-02
942106,2508653,OH  ,1767,Audi,A5,1993-08-30,1994-08-30
889883,7739916,IL  ,1665,Toyota,Camry,1999-02-03,2000-02-03
596790,4781149,IL  ,1154,Accura,TL,2014-09-04,2015-09-04
602704,1948931,OH  ,1189,Jeep,Wrangler,2011-09-27,2012-09-27
586104,7923116,IN  ,1219,Saab,93,2003-03-16,2004-03-16
627540,3169720,OH  ,1489,Saab,95,2010-05-21,2011-05-21
535879,8040359,IN  ,1685,Jeep,Grand Cherokee,2009-03-05,2010-03-05
900628,5977137,IN  ,1690,Dodge,RAM,2006-02-05,2007-02-05
203914,2316038,OH  ,1200,Audi,A3,2022-06-28,9999-12-31
354105,8455380,IN  ,1238,Accura,MDX,1994-06-08,1995-06-08
253796,8329693,IL  ,1675,Ford,Fusion,2010-01-23,2011-01-23
488729,8119501,IN  ,1513,Dodge,Neon,2005-05-29,2006-05-29
364055,7168160,IN  ,1488,Saab,95,2001-05-14,2002-05-14
241562,7017277,IL  ,2047,Accura,MDX,2010-01-28,2011-01-28
873384,6700049,IL  ,1234,BMW,M5,2004-03-10,2005-03-10
130935,4397181,IN  ,1108,Dodge,RAM,2015-01-23,2016-01-23
217904,5902880,IL  ,1439,Chevrolet,Malibu,1994-12-13,1995-12-13
594788,8480088,IL  ,1349,Honda,Civic,2012-06-30,2013-06-30
117862,4468696,OH  ,979,Honda,Accord,2000-07-14,2001-07-14
836354,8703627,IL  ,1503,Chevrolet,Tahoe,2013-11-01,2014-11-01
737593,3622540,IL  ,865,Dodge,RAM,1997-12-19,1998-12-19
927359,8933096,IN  ,1509,Suburu,Impreza,1991-03-15,1992-03-15
955953,4793324,IL  ,1353,Ford,Escape,2014-01-18,2015-01-18
267885,7853707,IN  ,1212,Jeep,Wrangler,2013-08-26,2014-08-26
935601,6103267,OH  ,1761,Chevrolet,Tahoe,1999-11-01,2000-11-01
757352,1840280,OH  ,1238,Honda,CRV,1999-12-21,2000-12-21
369786,2645288,IL  ,1216,Saab,93,2011-11-25,2012-11-25
360770,6863695,IN  ,1285,Honda,CRV,2005-09-21,2006-09-21
307447,8423444,IL  ,1515,Mercedes,ML350,1990-03-17,1991-03-17
337158,2503287,OH  ,945,Ford,Escape,1991-04-08,1992-04-08
326289,8799616,OH  ,1048,Ford,F150,2004-01-03,2005-01-03
263113,6896584,OH  ,1626,Ford,F150,2003-11-29,2004-11-29
421092,3010491,OH  ,1221,Suburu,Impreza,2003-03-04,2004-03-04
791425,3576709,IN  ,1585,Volkswagen,Jetta,1997-06-18,1998-06-18
270213,8652582,OH  ,1596,Volkswagen,Jetta,2005-02-09,2006-02-09
866936,4627650,IN  ,1173,Volkswagen,Passat,2008-07-07,2009-07-07
608513,7874682,IN  ,848,Suburu,Forrestor,2002-07-18,2003-07-18
428230,2246560,IN  ,1399,BMW,M5,2012-06-04,2013-06-04
691120,1791198,IN  ,1223,Suburu,Legacy,1993-07-28,1994-07-28
492750,4743873,IN  ,1556,Nissan,Ultima,2004-08-04,2005-08-04
976650,5128749,IL  ,1147,Ford,Fusion,2011-08-28,2016-08-28
500639,5387196,OH  ,1324,Volkswagen,Jetta,1996-06-27,1997-06-27
976976,4270907,OH  ,1784,Accura,MDX,2002-10-19,2003-10-19
910370,8935654,IN  ,878,Chevrolet,Malibu,2002-06-19,2003-06-19
984461,6305122,IN  ,534,Volkswagen,Passat,2003-12-24,2004-12-24
930032,4675524,IL  ,1117,Volkswagen,Jetta,2002-09-10,2003-09-10
362848,5756774,OH  ,1161,Toyota,Camry,2005-02-09,2006-02-09
550132,3964730,IN  ,1298,Chevrolet,Malibu,2008-01-04,2009-01-04
167231,2155333,IN  ,1472,Nissan,Maxima,1994-01-26,1995-01-26
586367,3149290,IL  ,1011,Chevrolet,Tahoe,2000-06-30,2001-06-30
756986,5622067,OH  ,1167,Volkswagen,Jetta,2004-04-02,2005-04-02
758740,5939992,IL  ,1096,BMW,M5,1997-08-04,1998-08-04
409079,8178130,OH  ,1345,Audi,A3,1992-09-19,1993-09-19
824545,8724965,OH  ,1103,Accura,MDX,2008-09-13,2009-09-13
482409,7671537,IN  ,1600,Audi,A3,2011-12-18,2012-12-18
771241,5051981,OH  ,965,Honda,Accord,1995-11-29,1996-11-29
537551,8913813,IL  ,1123,BMW,M5,1995-02-20,1996-02-20
736882,1055534,IN  ,883,Ford,Escape,1996-02-02,1997-02-02
626213,3298583,OH  ,890,Ford,Escape,2005-11-08,2006-11-08
155729,1942805,IL  ,1444,Nissan,Maxima,1998-08-20,1999-08-20
309323,8049388,OH  ,1060,Volkswagen,Passat,1992-02-29,1993-02-28
214623,1901520,OH  ,1187,Audi,A3,1999-11-29,2000-11-29
682392,8982600,OH  ,1271,Mercedes,E400,1998-09-08,1999-09-08
722747,5900891,IL  ,1482,Suburu,Forrestor,2011-09-02,2012-09-02
769607,3600395,IL  ,1206,Jeep,Wrangler,2005-06-19,2006-06-19
515222,6447002,IL  ,1416,BMW,X6,2011-12-18,2016-12-18
914088,1691389,OH  ,1291,Dodge,Neon,1990-02-08,1991-02-08
794731,5722701,IN  ,973,Toyota,Highlander,2015-02-22,2016-02-22
651861,5646069,IL  ,1046,Chevrolet,Silverado,2011-01-07,2012-01-07
657045,2538600,OH  ,895,Chevrolet,Malibu,1995-12-04,1996-12-04
212585,8369854,IL  ,1644,Saab,95,2015-01-05,2016-01-05
395274,3619975,IL  ,1272,BMW,X5,2013-05-02,2014-05-02
963680,6766815,OH  ,1474,Volkswagen,Jetta,2003-01-04,2004-01-04
414913,3191297,IN  ,1379,Audi,A3,2012-07-17,2013-07-17
596790,4781149,IL  ,1154,Accura,TL,2014-09-04,2015-09-04
910622,1417657,IN  ,1175,Dodge,Neon,1992-03-22,1993-03-22
565569,5314614,OH  ,1588,Volkswagen,Passat,2007-08-07,2008-08-07
221288,5142623,OH  ,964,Accura,MDX,1995-02-23,1996-02-23
246435,5145773,IL  ,1800,Jeep,Grand Cherokee,2001-07-05,2002-07-05
728844,2281739,OH  ,1574,Saab,95,2001-07-02,2002-07-02
203914,2316038,OH  ,1050,Audi,A3,2002-06-10,2012-06-09
106873,5980574,IL  ,894,Dodge,RAM,1998-08-28,1999-08-28
253796,8329693,IL  ,1725,Ford,Fusion,2011-01-23,2016-01-23
515462,7239839,IN  ,1038,Dodge,Neon,1997-06-18,1998-06-18
550294,6697619,IL  ,1526,Dodge,RAM,2001-11-26,2002-11-26
241562,7017277,IL  ,2097,Accura,MDX,2011-01-28,2016-01-28
367460,8597243,IL  ,1633,Accura,RSX,2014-12-06,2015-12-06
589099,8920657,IN  ,1403,Accura,MDX,2003-11-27,2004-11-27
798584,1934557,IN  ,1164,Nissan,Pathfinder,2012-06-19,2013-06-19
594788,8480088,IL  ,1349,Honda,Civic,2012-06-30,2013-06-30
751905,4720488,OH  ,1483,Volkswagen,Passat,2001-05-16,2002-05-16
836354,8703627,IL  ,1503,Chevrolet,Tahoe,2013-11-01,2014-11-01
649087,5865306,IL  ,1972,Jeep,Wrangler,1996-07-19,1997-07-19
565157,5785677,IL  ,1046,Mercedes,C300,2002-10-06,2003-10-06
955953,4793324,IL  ,1403,Ford,Escape,2015-01-18,2020-01-18
119513,6032570,IL  ,1384,Volkswagen,Jetta,1996-09-21,1997-09-21
979544,6313234,IL  ,1354,Volkswagen,Passat,2014-04-21,2015-04-21
322613,4104732,IN  ,1183,Saab,93,1995-04-16,1996-04-16
369786,2645288,IL  ,1216,Saab,93,2011-11-25,2012-11-25
648397,3343951,IN  ,1110,Accura,MDX,1999-03-09,2000-03-09
403737,8751357,IN  ,1447,Accura,MDX,1991-12-06,1992-12-06
944102,8555479,IN  ,1462,Mercedes,C300,2007-07-20,2008-07-20
338075,7098828,IN  ,1087,Nissan,Ultima,2006-07-25,2007-07-25
606042,8724354,OH  ,1491,Dodge,RAM,2009-10-10,2010-10-10
283057,2990354,IL  ,1605,Mercedes,C300,2005-07-07,2006-07-07
918629,7333231,IL  ,1322,BMW,X5,2000-10-03,2001-10-03
608044,4414623,IL  ,1205,Accura,TL,2005-06-28,2006-06-28
346002,7874266,OH  ,835,BMW,X6,1990-08-20,1991-08-20
552618,3059546,IN  ,969,Chevrolet,Malibu,1993-01-22,1994-01-22
745200,6354201,OH  ,973,Dodge,Neon,1994-08-06,1995-08-06
951543,6479435,IN  ,1616,Dodge,RAM,2002-07-09,2003-07-09
498847,6063829,OH  ,1255,Accura,RSX,2000-11-04,2001-11-04
976650,5128749,IL  ,1197,Ford,Fusion,2016-08-28,2021-08-28
265437,2852809,IL  ,1319,Toyota,Camry,2003-10-11,2004-10-11
533940,4585664,IL  ,1356,Audi,A5,2011-11-18,2012-11-18
751617,2814337,IN  ,1514,Toyota,Highlander,2009-12-22,2010-12-22
760700,8917637,IL  ,1302,Volkswagen,Jetta,2006-11-25,2007-11-25
646069,6904094,OH  ,1212,Mercedes,ML350,2002-06-08,2003-06-08
658816,2961338,IN  ,1537,Jeep,Wrangler,2007-12-16,2008-12-16
488037,1928217,OH  ,1173,Chevrolet,Malibu,2007-07-11,2008-07-11
101426,7604116,IL  ,1072,Jeep,Wrangler,2000-04-19,2001-04-19
235869,8053041,IL  ,1239,Mercedes,ML350,2011-01-22,2012-01-22
719994,7523849,IL  ,616,Honda,CRV,1994-10-07,1995-10-07
911434,7854507,IN  ,1039,Mercedes,ML350,2013-02-25,2014-02-25
320251,6053046,IL  ,1132,Nissan,Ultima,2009-01-24,2010-01-24
525229,4392782,IN  ,1356,Toyota,Camry,1993-04-02,1994-04-02
538466,6349357,IN  ,1191,Ford,Fusion,1995-07-29,1996-07-29
728030,2581975,IN  ,1985,Mercedes,E400,1990-08-15,1991-08-15
828890,7284129,OH  ,1367,Mercedes,C300,1993-10-20,1994-10-20
259792,1770119,IL  ,1232,Suburu,Forrestor,1999-04-07,2000-04-07
799501,6957549,OH  ,1315,Jeep,Grand Cherokee,1991-12-28,1992-12-28
519317,2060989,OH  ,1898,Suburu,Legacy,2009-04-28,2010-04-28
914820,7596162,IN  ,1756,Honda,Civic,1991-03-27,1992-03-27
512894,8527332,OH  ,1153,Toyota,Corolla,1990-10-02,1991-10-02
641934,5451979,OH  ,1430,Honda,Civic,2013-12-25,2014-12-25
722747,5900891,IL  ,1482,Suburu,Forrestor,2011-09-02,2012-09-02
369231,7850597,OH  ,1350,Chevrolet,Tahoe,2002-08-10,2003-08-10
515222,6447002,IL  ,1466,BMW,X6,2016-12-18,2021-12-18
135400,3130666,IN  ,989,Saab,95,2014-01-20,2015-01-20
398107,1242010,IL  ,1147,Dodge,Neon,1998-04-24,1999-04-24
651861,5646069,IL  ,1046,Chevrolet,Silverado,2011-01-07,2012-01-07
967756,3456970,OH  ,1388,Ford,Escape,2007-04-28,2008-04-28
212585,8369854,IL  ,1694,Saab,95,2016-01-05,2021-01-05
395274,3619975,IL  ,1322,BMW,X5,2014-05-02,2019-05-02
216743,4696684,IN  ,1235,Accura,TL,2015-02-05,2016-02-05
463237,2754050,IN  ,1306,Ford,Fusion,2000-02-09,2001-02-09
596790,4781149,IL  ,1204,Accura,TL,2015-09-04,2020-09-04
491484,8251367,IL  ,1143,Nissan,Ultima,1994-11-18,1995-11-18
143924,2087709,OH  ,1141,Toyota,Highlander,1993-12-10,1994-12-10
727109,7737063,IN  ,1082,Jeep,Wrangler,2001-02-20,2002-02-20
967718,8438712,IL  ,859,Honda,Civic,1998-06-25,1999-06-25
525862,5587309,OH  ,1188,Dodge,Neon,2000-10-18,2001-10-18
203914,2316038,OH  ,1150,Audi,A3,2012-06-10,2022-06-27
342868,7168277,IN  ,1197,Mercedes,E400,2006-06-27,2007-06-27
253796,8329693,IL  ,1775,Ford,Fusion,2016-01-23,2021-01-23
489623,2343968,IL  ,1574,Nissan,Pathfinder,2003-07-23,2004-07-23
297821,6449237,IL  ,1450,Jeep,Wrangler,1997-08-03,1998-08-03
241562,7017277,IL  ,2147,Accura,MDX,2016-01-28,2021-01-28
367460,8597243,IL  ,1633,Accura,RSX,2014-12-06,2015-12-06
463727,7244450,OH  ,1075,Saab,95,1992-08-05,1993-08-05
524230,1834649,IN  ,920,Honda,Civic,2014-02-23,2015-02-23
594788,8480088,IL  ,1399,Honda,Civic,2013-06-30,2018-06-30
793953,1191444,IL  ,1446,Toyota,Camry,1991-06-20,1992-06-20
836354,8703627,IL  ,1553,Chevrolet,Tahoe,2014-11-01,2019-11-01
396002,4251792,IN  ,1588,Chevrolet,Malibu,2007-03-04,2008-03-04
620215,1814511,IN  ,823,Dodge,RAM,2005-07-27,2006-07-27
955953,4793324,IL  ,1403,Ford,Escape,2015-01-18,2020-01-18
155912,4535615,OH  ,1520,Chevrolet,Tahoe,2008-03-21,2009-03-21
979544,6313234,IL  ,1354,Volkswagen,Passat,2014-04-21,2015-04-21
212674,6551845,OH  ,1050,Nissan,Maxima,1992-09-01,1993-09-01
369786,2645288,IL  ,1266,Saab,93,2012-11-25,2017-11-25
598313,3410415,IN  ,1383,Dodge,RAM,1992-07-28,1993-07-28
926665,2314406,OH  ,1101,Chevrolet,Tahoe,1992-02-04,1993-02-04
658002,7404364,OH  ,1509,Saab,92x,2005-10-21,2006-10-21
664732,3617140,IL  ,1396,Suburu,Forrestor,2003-07-30,2004-07-30
288580,2827641,OH  ,1079,Volkswagen,Jetta,2012-11-22,2013-11-22
776865,4567665,OH  ,1387,Dodge,RAM,2009-07-11,2010-07-11
354486,5390728,IN  ,1392,Saab,93,2005-05-17,2006-05-17
153159,4778353,OH  ,1388,Toyota,Corolla,2011-02-21,2012-02-21
717397,7011527,IL  ,1090,BMW,X5,1997-02-20,1998-02-20
260850,8549050,OH  ,1105,Honda,Civic,1999-05-11,2000-05-11
114844,8007150,IL  ,1248,Mercedes,E400,2006-07-01,2007-07-01
396229,8631406,IN  ,1505,Honda,Civic,2010-03-08,2011-03-08
171147,7478283,IL  ,714,Honda,Accord,2010-08-29,2011-08-29
976650,5128749,IL  ,1247,Ford,Fusion,2021-08-28,9999-12-31
369048,8120451,IL  ,1527,Dodge,RAM,2011-06-05,2012-06-05
533940,4585664,IL  ,1356,Audi,A5,2011-11-18,2012-11-18
963285,4205339,IN  ,1425,Dodge,RAM,2006-12-09,2007-12-09
431288,1655424,IL  ,1426,Suburu,Impreza,2005-09-30,2006-09-30
740523,3324851,OH  ,1427,Accura,MDX,2011-08-18,2012-08-18
335785,6043102,OH  ,1637,Audi,A5,2003-01-22,2004-01-22
369946,6035248,OH  ,1380,Dodge,Neon,2008-01-24,2009-01-24
509489,5315673,OH  ,1744,Volkswagen,Jetta,2013-12-21,2014-12-21
235869,8053041,IL  ,1239,Mercedes,ML350,2011-01-22,2012-01-22
378592,5516147,OH  ,1157,Mercedes,C300,1999-06-16,2000-06-16
981128,6720790,IN  ,1109,Saab,93,2000-11-04,2001-11-04
413197,6324057,IN  ,1503,Accura,MDX,1998-04-02,1999-04-02
140982,7621003,IN  ,1360,Toyota,Camry,2007-02-18,2008-02-18
558938,3416024,OH  ,1199,Nissan,Maxima,2005-06-08,2006-06-08
332872,3971221,IN  ,1412,Dodge,Neon,1994-06-13,1995-06-13
235097,7462059,IL  ,1119,Jeep,Wrangler,1992-04-28,1993-04-28
290971,3758614,OH  ,1698,Volkswagen,Jetta,2005-10-10,2006-10-10
971300,7645061,OH  ,1484,Mercedes,ML350,2002-04-01,2003-04-01
485669,5188440,IN  ,1205,Jeep,Wrangler,2003-05-25,2004-05-25
414524,2867326,IN  ,1604,Honda,CRV,1999-07-25,2000-07-25
684653,5262033,OH  ,1106,Suburu,Legacy,1997-11-15,1998-11-15
357813,4117793,IN  ,1164,Mercedes,E400,2011-07-31,2012-07-31
722747,5900891,IL  ,1532,Suburu,Forrestor,2012-09-02,2017-09-02
777538,1680775,OH  ,1437,Jeep,Wrangler,2003-06-21,2004-06-21
515222,6447002,IL  ,1516,BMW,X6,2021-12-18,9999-12-31
918042,8030789,OH  ,1440,Accura,MDX,2005-07-30,2006-07-30
171183,3976603,IN  ,671,Ford,Escape,1990-02-01,1991-02-01
651861,5646069,IL  ,1096,Chevrolet,Silverado,2012-01-07,2017-01-07
150181,7799925,IL  ,927,Suburu,Forrestor,2007-05-06,2008-05-06
212585,8369854,IL  ,1694,Saab,95,2016-01-05,2021-01-05
395274,3619975,IL  ,1322,BMW,X5,2014-05-02,2019-05-02
952300,8103698,OH  ,1439,Accura,MDX,2009-08-02,2010-08-02
467111,1487229,OH  ,1259,Nissan,Ultima,1996-04-08,1997-04-08
596790,4781149,IL  ,1204,Accura,TL,2015-09-04,2020-09-04
279427,5748467,OH  ,1026,BMW,M5,2014-04-27,2015-04-27
227244,5664072,IN  ,1066,Audi,A3,1996-11-30,1997-11-30
689505,2566761,IL  ,1416,BMW,X6,2003-07-28,2004-07-28
125591,3136866,IN  ,1412,Nissan,Maxima,2013-08-08,2014-08-08
587503,8206871,IL  ,1401,Volkswagen,Passat,1997-04-15,1998-04-15
598559,6623259,IN  ,845,Nissan,Maxima,1990-08-14,1991-08-14
149367,4455156,IN  ,1298,Ford,F150,2003-03-18,2004-03-18
253796,8329693,IL  ,1825,Ford,Fusion,2021-01-23,9999-12-31
998870,7273220,IL  ,1790,Dodge,Neon,2015-06-05,2016-06-05
728600,8508239,IL  ,1042,Suburu,Forrestor,2002-08-15,2003-08-15
241562,7017277,IL  ,2197,Accura,MDX,2021-01-28,9999-12-31
367460,8597243,IL  ,1683,Accura,RSX,2015-12-06,2020-12-06
247510,5781658,IL  ,1408,Jeep,Wrangler,2006-10-19,2007-10-19
844117,1309402,OH  ,1144,Honda,Civic,1991-08-21,1992-08-21
594788,8480088,IL  ,1399,Honda,Civic,2013-06-30,2018-06-30
730819,4554618,IN  ,625,BMW,X6,1990-08-18,1991-08-18
836354,8703627,IL  ,1553,Chevrolet,Tahoe,2014-11-01,2019-11-01
447226,6494082,OH  ,1122,Accura,TL,1994-08-17,1995-08-17
395983,8805335,OH  ,1355,Nissan,Pathfinder,2009-11-08,2010-11-08
955953,4793324,IL  ,1453,Ford,Escape,2020-01-18,2025-01-18
601047,3723236,OH  ,1296,Nissan,Maxima,2008-03-19,2009-03-19
979544,6313234,IL  ,1404,Volkswagen,Passat,2015-04-21,2020-04-21
398688,1602357,IN  ,1657,Dodge,RAM,2007-10-30,2008-10-30
369786,2645288,IL  ,1266,Saab,93,2012-11-25,2017-11-25
714934,8768455,IL  ,1068,Honda,CRV,1995-05-25,1996-05-25
607264,6209219,OH  ,1440,Nissan,Pathfinder,1996-10-08,1997-10-08
871437,3974574,IL  ,1522,Volkswagen,Jetta,2005-01-15,2006-01-15
154280,7503858,IL  ,1447,Dodge,Neon,1993-01-29,1994-01-29
795686,4861985,IL  ,1398,BMW,X6,2004-10-24,2005-10-24
228403,7989378,IN  ,1435,Chevrolet,Tahoe,2004-04-20,2005-04-20
753005,5968200,IL  ,1253,Volkswagen,Jetta,2005-11-20,2006-11-20
921851,1291920,IN  ,1328,Volkswagen,Passat,1992-12-07,1993-12-07
492229,2899044,IN  ,1225,Dodge,Neon,2006-06-09,2007-06-09
608448,2845983,IL  ,1225,Honda,CRV,2007-06-21,2008-06-21
806086,6548681,IL  ,1325,Mercedes,ML350,2011-08-01,2012-08-01
331175,6700574,IL  ,1420,Accura,MDX,1995-09-26,1996-09-26
171147,7478283,IL  ,764,Honda,Accord,2011-08-29,2016-08-29
296965,8679210,IL  ,1412,BMW,X5,1997-07-18,1998-07-18
369048,8120451,IL  ,1527,Dodge,RAM,2011-06-05,2012-06-05
533940,4585664,IL  ,1406,Audi,A5,2012-11-18,2017-11-18
736771,5789801,IN  ,1464,Audi,A3,1991-12-14,1992-12-14
996855,2222969,OH  ,1447,Accura,MDX,1995-09-08,1996-09-08
950885,5608605,IN  ,1049,Accura,TL,1999-06-19,2000-06-19
714789,2388192,IN  ,1058,Toyota,Camry,2005-01-16,2006-01-16
162009,1499341,IL  ,953,Toyota,Highlander,1996-03-19,1997-03-19
594727,1579317,OH  ,1152,Toyota,Highlander,2000-01-31,2001-01-31
235869,8053041,IL  ,1289,Mercedes,ML350,2012-01-22,2017-01-22
957821,8445947,IL  ,1243,Suburu,Legacy,2013-02-26,2014-02-26
154987,8353703,IL  ,1424,Suburu,Legacy,1991-08-13,1992-08-13
507550,3288697,IL  ,1348,Saab,92x,1999-06-07,2000-06-07
352120,7504303,IN  ,1518,Ford,F150,1994-12-11,1995-12-11
604614,8576459,IN  ,1362,Suburu,Legacy,1995-02-17,1996-02-17
979336,5866896,IL  ,1694,BMW,X6,2001-03-04,2002-03-04
109397,6193315,OH  ,1330,Accura,TL,2007-01-12,2008-01-12
787351,5940419,IL  ,1730,Saab,95,2013-04-28,2014-04-28
965773,4722088,IN  ,1352,Ford,Escape,2015-01-27,2016-01-27
484321,8310817,IL  ,1152,BMW,X6,1996-07-11,1997-07-11
687755,6362368,IL  ,1539,Ford,F150,1990-03-28,1991-03-28
285501,3725012,IL  ,1022,Suburu,Forrestor,1994-11-27,1995-11-27
729639,5650186,IN  ,1251,Suburu,Forrestor,1994-10-28,1995-10-28
722747,5900891,IL  ,1532,Suburu,Forrestor,2012-09-02,2017-09-02
804410,5111665,OH  ,1127,Suburu,Forrestor,1998-12-12,1999-12-12
615121,7625391,IN  ,1244,Suburu,Forrestor,2009-05-09,2010-05-09
645728,3498714,OH  ,1157,Saab,92x,1991-11-05,1992-11-05
729534,4733280,IN  ,1216,Ford,F150,1991-09-30,1992-09-30
651861,5646069,IL  ,1096,Chevrolet,Silverado,2012-01-07,2017-01-07
204299,6304230,IN  ,1392,Honda,Accord,1992-05-16,1993-05-16
212585,8369854,IL  ,1744,Saab,95,2021-01-05,2026-01-05
395274,3619975,IL  ,1372,BMW,X5,2019-05-02,2024-05-02
786962,6123629,OH  ,1184,Toyota,Camry,2007-04-29,2008-04-29
282195,6305899,OH  ,1393,Ford,F150,2014-08-17,2015-08-17
596790,4781149,IL  ,1254,Accura,TL,2020-09-04,2025-09-04
740384,6223013,IN  ,1454,Suburu,Forrestor,1993-10-29,1994-10-29
373736,3105861,IL  ,1276,BMW,3 Series,2013-06-24,2014-06-24
215534,3322981,IL  ,1437,Dodge,RAM,1994-09-12,1995-09-12
439341,2337270,IN  ,1140,Chevrolet,Silverado,1991-07-20,1992-07-20
844012,2546379,IN  ,1877,Audi,A5,1996-01-17,1997-01-17
501697,2761672,IN  ,1184,Volkswagen,Jetta,2014-12-24,2015-12-24
299796,3445613,IN  ,1344,Saab,92x,1999-09-29,2000-09-29
873119,8586343,IL  ,1301,Audi,A3,1996-06-07,1997-06-07
998870,7273220,IL  ,1790,Dodge,Neon,2015-06-05,2016-06-05
